,Tender Link,Title,Buyer,Supplier,Bid Price
21,,,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Lot 2
				
				
				
				
					
					Almiro Simões & Craveiro Lda
				
				
			
				Lot 2
				
				
				
				
					
					Anónima Empresa de Construção Lda
				
				
			
				Lot 2
				
				
				
				
					
					Beledin , Construção Civil Lda
				
				
			
				Lot 2
				
				
				
				
					
					CASTLING
				
				
			
				Lot 2
				
				
				
				
					
					Potencial Abcissa Construções Unipessoal Lda","Lot 1 Bid 1
				
				
				
				
					€ 22,995
				
				
			
				Lot 2 Bid 1
				
				
				
				
					€ 22,995"
22,,,"Instituto dos Registos e do Notariado, I. P.","PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria","€ 109,200"
23,,,Município de Azambuja,Ana Luísa Brigantim Pereira Bochicchio,"€ 9,000"
24,,,Serviços Municipalizados de Água e Saneamento de Sintra,"ONITELECOM - Infocomunicações, S.A.
				
				
			
				
				
				
				
				
					
					Onitelecom-Infocomunicações,S.A.","Bid 1
				
				
				
				
					€ 2,255"
25,,,"Casa Pia de Lisboa, I. P.",Tintas Marilina S.A.,"€ 2,354.7"
26,,,Adm.Reg.de Saúde de Lisboa e Vale do Tejo (ARSLVT),"Canon Portugal, S.A.","€ 4,453.6"
27,,,Município de Arouca,"Movex - Produção, Venda e Aluguer de Módulos Pre Fabricados, SA","€ 7,386"
28,,,Município de Chaves,Manuel Joaquim dos Santos Gonçalves,"€ 7,080.5"
29,,,"Instituto Nacional de Investigação Agrária e Veterinária, I. P.","DATELKA - Engenharia e Sistemas, LDA.","€ 2,000"
30,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
31,,,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Lot 2
				
				
				
				
					
					Almiro Simões & Craveiro Lda
				
				
			
				Lot 2
				
				
				
				
					
					Anónima Empresa de Construção Lda
				
				
			
				Lot 2
				
				
				
				
					
					Beledin , Construção Civil Lda
				
				
			
				Lot 2
				
				
				
				
					
					CASTLING
				
				
			
				Lot 2
				
				
				
				
					
					Potencial Abcissa Construções Unipessoal Lda","Lot 1 Bid 1
				
				
				
				
					€ 22,995
				
				
			
				Lot 2 Bid 1
				
				
				
				
					€ 22,995"
32,,,"Instituto dos Registos e do Notariado, I. P.","PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria","€ 109,200"
33,,,Município de Azambuja,Ana Luísa Brigantim Pereira Bochicchio,"€ 9,000"
34,,,Serviços Municipalizados de Água e Saneamento de Sintra,"ONITELECOM - Infocomunicações, S.A.
				
				
			
				
				
				
				
				
					
					Onitelecom-Infocomunicações,S.A.","Bid 1
				
				
				
				
					€ 2,255"
35,,,"Casa Pia de Lisboa, I. P.",Tintas Marilina S.A.,"€ 2,354.7"
36,,,Adm.Reg.de Saúde de Lisboa e Vale do Tejo (ARSLVT),"Canon Portugal, S.A.","€ 4,453.6"
37,,,Município de Arouca,"Movex - Produção, Venda e Aluguer de Módulos Pre Fabricados, SA","€ 7,386"
38,,,Município de Chaves,Manuel Joaquim dos Santos Gonçalves,"€ 7,080.5"
39,,,"Instituto Nacional de Investigação Agrária e Veterinária, I. P.","DATELKA - Engenharia e Sistemas, LDA.","€ 2,000"
40,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
41,,,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Lot 2
				
				
				
				
					
					Almiro Simões & Craveiro Lda
				
				
			
				Lot 2
				
				
				
				
					
					Anónima Empresa de Construção Lda
				
				
			
				Lot 2
				
				
				
				
					
					Beledin , Construção Civil Lda
				
				
			
				Lot 2
				
				
				
				
					
					CASTLING
				
				
			
				Lot 2
				
				
				
				
					
					Potencial Abcissa Construções Unipessoal Lda","Lot 1 Bid 1
				
				
				
				
					€ 22,995
				
				
			
				Lot 2 Bid 1
				
				
				
				
					€ 22,995"
42,,,"Instituto dos Registos e do Notariado, I. P.","PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria","€ 109,200"
43,,,Município de Azambuja,Ana Luísa Brigantim Pereira Bochicchio,"€ 9,000"
44,,,Serviços Municipalizados de Água e Saneamento de Sintra,"ONITELECOM - Infocomunicações, S.A.
				
				
			
				
				
				
				
				
					
					Onitelecom-Infocomunicações,S.A.","Bid 1
				
				
				
				
					€ 2,255"
45,,,"Casa Pia de Lisboa, I. P.",Tintas Marilina S.A.,"€ 2,354.7"
46,,,Adm.Reg.de Saúde de Lisboa e Vale do Tejo (ARSLVT),"Canon Portugal, S.A.","€ 4,453.6"
47,,,Município de Arouca,"Movex - Produção, Venda e Aluguer de Módulos Pre Fabricados, SA","€ 7,386"
48,,,Município de Chaves,Manuel Joaquim dos Santos Gonçalves,"€ 7,080.5"
49,,,"Instituto Nacional de Investigação Agrária e Veterinária, I. P.","DATELKA - Engenharia e Sistemas, LDA.","€ 2,000"
50,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
51,,,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Lot 2
				
				
				
				
					
					Almiro Simões & Craveiro Lda
				
				
			
				Lot 2
				
				
				
				
					
					Anónima Empresa de Construção Lda
				
				
			
				Lot 2
				
				
				
				
					
					Beledin , Construção Civil Lda
				
				
			
				Lot 2
				
				
				
				
					
					CASTLING
				
				
			
				Lot 2
				
				
				
				
					
					Potencial Abcissa Construções Unipessoal Lda","Lot 1 Bid 1
				
				
				
				
					€ 22,995
				
				
			
				Lot 2 Bid 1
				
				
				
				
					€ 22,995"
52,,,"Instituto dos Registos e do Notariado, I. P.","PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria","€ 109,200"
53,,,Município de Azambuja,Ana Luísa Brigantim Pereira Bochicchio,"€ 9,000"
54,,,Serviços Municipalizados de Água e Saneamento de Sintra,"ONITELECOM - Infocomunicações, S.A.
				
				
			
				
				
				
				
				
					
					Onitelecom-Infocomunicações,S.A.","Bid 1
				
				
				
				
					€ 2,255"
55,,,"Casa Pia de Lisboa, I. P.",Tintas Marilina S.A.,"€ 2,354.7"
56,,,Adm.Reg.de Saúde de Lisboa e Vale do Tejo (ARSLVT),"Canon Portugal, S.A.","€ 4,453.6"
57,,,Município de Arouca,"Movex - Produção, Venda e Aluguer de Módulos Pre Fabricados, SA","€ 7,386"
58,,,Município de Chaves,Manuel Joaquim dos Santos Gonçalves,"€ 7,080.5"
59,,,"Instituto Nacional de Investigação Agrária e Veterinária, I. P.","DATELKA - Engenharia e Sistemas, LDA.","€ 2,000"
60,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
61,,,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Lot 2
				
				
				
				
					
					Almiro Simões & Craveiro Lda
				
				
			
				Lot 2
				
				
				
				
					
					Anónima Empresa de Construção Lda
				
				
			
				Lot 2
				
				
				
				
					
					Beledin , Construção Civil Lda
				
				
			
				Lot 2
				
				
				
				
					
					CASTLING
				
				
			
				Lot 2
				
				
				
				
					
					Potencial Abcissa Construções Unipessoal Lda","Lot 1 Bid 1
				
				
				
				
					€ 22,995
				
				
			
				Lot 2 Bid 1
				
				
				
				
					€ 22,995"
62,,,"Instituto dos Registos e do Notariado, I. P.","PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria","€ 109,200"
63,,,Município de Azambuja,Ana Luísa Brigantim Pereira Bochicchio,"€ 9,000"
64,,,Serviços Municipalizados de Água e Saneamento de Sintra,"ONITELECOM - Infocomunicações, S.A.
				
				
			
				
				
				
				
				
					
					Onitelecom-Infocomunicações,S.A.","Bid 1
				
				
				
				
					€ 2,255"
65,,,"Casa Pia de Lisboa, I. P.",Tintas Marilina S.A.,"€ 2,354.7"
66,,,Adm.Reg.de Saúde de Lisboa e Vale do Tejo (ARSLVT),"Canon Portugal, S.A.","€ 4,453.6"
67,,,Município de Arouca,"Movex - Produção, Venda e Aluguer de Módulos Pre Fabricados, SA","€ 7,386"
68,,,Município de Chaves,Manuel Joaquim dos Santos Gonçalves,"€ 7,080.5"
69,,,"Instituto Nacional de Investigação Agrária e Veterinária, I. P.","DATELKA - Engenharia e Sistemas, LDA.","€ 2,000"
70,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
71,,,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Lot 2
				
				
				
				
					
					Almiro Simões & Craveiro Lda
				
				
			
				Lot 2
				
				
				
				
					
					Anónima Empresa de Construção Lda
				
				
			
				Lot 2
				
				
				
				
					
					Beledin , Construção Civil Lda
				
				
			
				Lot 2
				
				
				
				
					
					CASTLING
				
				
			
				Lot 2
				
				
				
				
					
					Potencial Abcissa Construções Unipessoal Lda","Lot 1 Bid 1
				
				
				
				
					€ 22,995
				
				
			
				Lot 2 Bid 1
				
				
				
				
					€ 22,995"
72,,,"Instituto dos Registos e do Notariado, I. P.","PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria","€ 109,200"
73,,,Município de Azambuja,Ana Luísa Brigantim Pereira Bochicchio,"€ 9,000"
74,,,Serviços Municipalizados de Água e Saneamento de Sintra,"ONITELECOM - Infocomunicações, S.A.
				
				
			
				
				
				
				
				
					
					Onitelecom-Infocomunicações,S.A.","Bid 1
				
				
				
				
					€ 2,255"
75,,,"Casa Pia de Lisboa, I. P.",Tintas Marilina S.A.,"€ 2,354.7"
76,,,Adm.Reg.de Saúde de Lisboa e Vale do Tejo (ARSLVT),"Canon Portugal, S.A.","€ 4,453.6"
77,,,Município de Arouca,"Movex - Produção, Venda e Aluguer de Módulos Pre Fabricados, SA","€ 7,386"
78,,,Município de Chaves,Manuel Joaquim dos Santos Gonçalves,"€ 7,080.5"
79,,,"Instituto Nacional de Investigação Agrária e Veterinária, I. P.","DATELKA - Engenharia e Sistemas, LDA.","€ 2,000"
80,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
81,,,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Lot 2
				
				
				
				
					
					Almiro Simões & Craveiro Lda
				
				
			
				Lot 2
				
				
				
				
					
					Anónima Empresa de Construção Lda
				
				
			
				Lot 2
				
				
				
				
					
					Beledin , Construção Civil Lda
				
				
			
				Lot 2
				
				
				
				
					
					CASTLING
				
				
			
				Lot 2
				
				
				
				
					
					Potencial Abcissa Construções Unipessoal Lda","Lot 1 Bid 1
				
				
				
				
					€ 22,995
				
				
			
				Lot 2 Bid 1
				
				
				
				
					€ 22,995"
82,,,"Instituto dos Registos e do Notariado, I. P.","PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria","€ 109,200"
83,,,Município de Azambuja,Ana Luísa Brigantim Pereira Bochicchio,"€ 9,000"
84,,,Serviços Municipalizados de Água e Saneamento de Sintra,"ONITELECOM - Infocomunicações, S.A.
				
				
			
				
				
				
				
				
					
					Onitelecom-Infocomunicações,S.A.","Bid 1
				
				
				
				
					€ 2,255"
85,,,"Casa Pia de Lisboa, I. P.",Tintas Marilina S.A.,"€ 2,354.7"
86,,,Adm.Reg.de Saúde de Lisboa e Vale do Tejo (ARSLVT),"Canon Portugal, S.A.","€ 4,453.6"
87,,,Município de Arouca,"Movex - Produção, Venda e Aluguer de Módulos Pre Fabricados, SA","€ 7,386"
88,,,Município de Chaves,Manuel Joaquim dos Santos Gonçalves,"€ 7,080.5"
89,,,"Instituto Nacional de Investigação Agrária e Veterinária, I. P.","DATELKA - Engenharia e Sistemas, LDA.","€ 2,000"
90,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
91,,,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Lot 2
				
				
				
				
					
					Almiro Simões & Craveiro Lda
				
				
			
				Lot 2
				
				
				
				
					
					Anónima Empresa de Construção Lda
				
				
			
				Lot 2
				
				
				
				
					
					Beledin , Construção Civil Lda
				
				
			
				Lot 2
				
				
				
				
					
					CASTLING
				
				
			
				Lot 2
				
				
				
				
					
					Potencial Abcissa Construções Unipessoal Lda","Lot 1 Bid 1
				
				
				
				
					€ 22,995
				
				
			
				Lot 2 Bid 1
				
				
				
				
					€ 22,995"
92,,,"Instituto dos Registos e do Notariado, I. P.","PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria","€ 109,200"
93,,,Município de Azambuja,Ana Luísa Brigantim Pereira Bochicchio,"€ 9,000"
94,,,Serviços Municipalizados de Água e Saneamento de Sintra,"ONITELECOM - Infocomunicações, S.A.
				
				
			
				
				
				
				
				
					
					Onitelecom-Infocomunicações,S.A.","Bid 1
				
				
				
				
					€ 2,255"
95,,,"Casa Pia de Lisboa, I. P.",Tintas Marilina S.A.,"€ 2,354.7"
96,,,Adm.Reg.de Saúde de Lisboa e Vale do Tejo (ARSLVT),"Canon Portugal, S.A.","€ 4,453.6"
97,,,Município de Arouca,"Movex - Produção, Venda e Aluguer de Módulos Pre Fabricados, SA","€ 7,386"
98,,,Município de Chaves,Manuel Joaquim dos Santos Gonçalves,"€ 7,080.5"
99,,,"Instituto Nacional de Investigação Agrária e Veterinária, I. P.","DATELKA - Engenharia e Sistemas, LDA.","€ 2,000"
100,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
101,,,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Lot 2
				
				
				
				
					
					Almiro Simões & Craveiro Lda
				
				
			
				Lot 2
				
				
				
				
					
					Anónima Empresa de Construção Lda
				
				
			
				Lot 2
				
				
				
				
					
					Beledin , Construção Civil Lda
				
				
			
				Lot 2
				
				
				
				
					
					CASTLING
				
				
			
				Lot 2
				
				
				
				
					
					Potencial Abcissa Construções Unipessoal Lda","Lot 1 Bid 1
				
				
				
				
					€ 22,995
				
				
			
				Lot 2 Bid 1
				
				
				
				
					€ 22,995"
102,,,"Instituto dos Registos e do Notariado, I. P.","PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria","€ 109,200"
103,,,Município de Azambuja,Ana Luísa Brigantim Pereira Bochicchio,"€ 9,000"
104,,,Serviços Municipalizados de Água e Saneamento de Sintra,"ONITELECOM - Infocomunicações, S.A.
				
				
			
				
				
				
				
				
					
					Onitelecom-Infocomunicações,S.A.","Bid 1
				
				
				
				
					€ 2,255"
105,,,"Casa Pia de Lisboa, I. P.",Tintas Marilina S.A.,"€ 2,354.7"
106,,,Adm.Reg.de Saúde de Lisboa e Vale do Tejo (ARSLVT),"Canon Portugal, S.A.","€ 4,453.6"
107,,,Município de Arouca,"Movex - Produção, Venda e Aluguer de Módulos Pre Fabricados, SA","€ 7,386"
108,,,Município de Chaves,Manuel Joaquim dos Santos Gonçalves,"€ 7,080.5"
109,,,"Instituto Nacional de Investigação Agrária e Veterinária, I. P.","DATELKA - Engenharia e Sistemas, LDA.","€ 2,000"
110,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
111,,,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Lot 2
				
				
				
				
					
					Almiro Simões & Craveiro Lda
				
				
			
				Lot 2
				
				
				
				
					
					Anónima Empresa de Construção Lda
				
				
			
				Lot 2
				
				
				
				
					
					Beledin , Construção Civil Lda
				
				
			
				Lot 2
				
				
				
				
					
					CASTLING
				
				
			
				Lot 2
				
				
				
				
					
					Potencial Abcissa Construções Unipessoal Lda","Lot 1 Bid 1
				
				
				
				
					€ 22,995
				
				
			
				Lot 2 Bid 1
				
				
				
				
					€ 22,995"
112,,,"Instituto dos Registos e do Notariado, I. P.","PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria","€ 109,200"
113,,,Município de Azambuja,Ana Luísa Brigantim Pereira Bochicchio,"€ 9,000"
114,,,Serviços Municipalizados de Água e Saneamento de Sintra,"ONITELECOM - Infocomunicações, S.A.
				
				
			
				
				
				
				
				
					
					Onitelecom-Infocomunicações,S.A.","Bid 1
				
				
				
				
					€ 2,255"
115,,,"Casa Pia de Lisboa, I. P.",Tintas Marilina S.A.,"€ 2,354.7"
116,,,Adm.Reg.de Saúde de Lisboa e Vale do Tejo (ARSLVT),"Canon Portugal, S.A.","€ 4,453.6"
117,,,Município de Arouca,"Movex - Produção, Venda e Aluguer de Módulos Pre Fabricados, SA","€ 7,386"
118,,,Município de Chaves,Manuel Joaquim dos Santos Gonçalves,"€ 7,080.5"
119,,,"Instituto Nacional de Investigação Agrária e Veterinária, I. P.","DATELKA - Engenharia e Sistemas, LDA.","€ 2,000"
120,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
121,,,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Lot 2
				
				
				
				
					
					Almiro Simões & Craveiro Lda
				
				
			
				Lot 2
				
				
				
				
					
					Anónima Empresa de Construção Lda
				
				
			
				Lot 2
				
				
				
				
					
					Beledin , Construção Civil Lda
				
				
			
				Lot 2
				
				
				
				
					
					CASTLING
				
				
			
				Lot 2
				
				
				
				
					
					Potencial Abcissa Construções Unipessoal Lda","Lot 1 Bid 1
				
				
				
				
					€ 22,995
				
				
			
				Lot 2 Bid 1
				
				
				
				
					€ 22,995"
122,,,"Instituto dos Registos e do Notariado, I. P.","PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria","€ 109,200"
123,,,Município de Azambuja,Ana Luísa Brigantim Pereira Bochicchio,"€ 9,000"
124,,,Serviços Municipalizados de Água e Saneamento de Sintra,"ONITELECOM - Infocomunicações, S.A.
				
				
			
				
				
				
				
				
					
					Onitelecom-Infocomunicações,S.A.","Bid 1
				
				
				
				
					€ 2,255"
125,,,"Casa Pia de Lisboa, I. P.",Tintas Marilina S.A.,"€ 2,354.7"
126,,,Adm.Reg.de Saúde de Lisboa e Vale do Tejo (ARSLVT),"Canon Portugal, S.A.","€ 4,453.6"
127,,,Município de Arouca,"Movex - Produção, Venda e Aluguer de Módulos Pre Fabricados, SA","€ 7,386"
128,,,Município de Chaves,Manuel Joaquim dos Santos Gonçalves,"€ 7,080.5"
129,,,"Instituto Nacional de Investigação Agrária e Veterinária, I. P.","DATELKA - Engenharia e Sistemas, LDA.","€ 2,000"
130,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
131,,,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Lot 2
				
				
				
				
					
					Almiro Simões & Craveiro Lda
				
				
			
				Lot 2
				
				
				
				
					
					Anónima Empresa de Construção Lda
				
				
			
				Lot 2
				
				
				
				
					
					Beledin , Construção Civil Lda
				
				
			
				Lot 2
				
				
				
				
					
					CASTLING
				
				
			
				Lot 2
				
				
				
				
					
					Potencial Abcissa Construções Unipessoal Lda","Lot 1 Bid 1
				
				
				
				
					€ 22,995
				
				
			
				Lot 2 Bid 1
				
				
				
				
					€ 22,995"
132,,,"Instituto dos Registos e do Notariado, I. P.","PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria","€ 109,200"
133,,,Município de Azambuja,Ana Luísa Brigantim Pereira Bochicchio,"€ 9,000"
134,,,Serviços Municipalizados de Água e Saneamento de Sintra,"ONITELECOM - Infocomunicações, S.A.
				
				
			
				
				
				
				
				
					
					Onitelecom-Infocomunicações,S.A.","Bid 1
				
				
				
				
					€ 2,255"
135,,,"Casa Pia de Lisboa, I. P.",Tintas Marilina S.A.,"€ 2,354.7"
136,,,Adm.Reg.de Saúde de Lisboa e Vale do Tejo (ARSLVT),"Canon Portugal, S.A.","€ 4,453.6"
137,,,Município de Arouca,"Movex - Produção, Venda e Aluguer de Módulos Pre Fabricados, SA","€ 7,386"
138,,,Município de Chaves,Manuel Joaquim dos Santos Gonçalves,"€ 7,080.5"
139,,,"Instituto Nacional de Investigação Agrária e Veterinária, I. P.","DATELKA - Engenharia e Sistemas, LDA.","€ 2,000"
140,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
141,,,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Lot 2
				
				
				
				
					
					Almiro Simões & Craveiro Lda
				
				
			
				Lot 2
				
				
				
				
					
					Anónima Empresa de Construção Lda
				
				
			
				Lot 2
				
				
				
				
					
					Beledin , Construção Civil Lda
				
				
			
				Lot 2
				
				
				
				
					
					CASTLING
				
				
			
				Lot 2
				
				
				
				
					
					Potencial Abcissa Construções Unipessoal Lda","Lot 1 Bid 1
				
				
				
				
					€ 22,995
				
				
			
				Lot 2 Bid 1
				
				
				
				
					€ 22,995"
142,,,"Instituto dos Registos e do Notariado, I. P.","PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria","€ 109,200"
143,,,Município de Azambuja,Ana Luísa Brigantim Pereira Bochicchio,"€ 9,000"
144,,,Serviços Municipalizados de Água e Saneamento de Sintra,"ONITELECOM - Infocomunicações, S.A.
				
				
			
				
				
				
				
				
					
					Onitelecom-Infocomunicações,S.A.","Bid 1
				
				
				
				
					€ 2,255"
145,,,"Casa Pia de Lisboa, I. P.",Tintas Marilina S.A.,"€ 2,354.7"
146,,,Adm.Reg.de Saúde de Lisboa e Vale do Tejo (ARSLVT),"Canon Portugal, S.A.","€ 4,453.6"
147,,,Município de Arouca,"Movex - Produção, Venda e Aluguer de Módulos Pre Fabricados, SA","€ 7,386"
148,,,Município de Chaves,Manuel Joaquim dos Santos Gonçalves,"€ 7,080.5"
149,,,"Instituto Nacional de Investigação Agrária e Veterinária, I. P.","DATELKA - Engenharia e Sistemas, LDA.","€ 2,000"
150,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
151,,,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Lot 2
				
				
				
				
					
					Almiro Simões & Craveiro Lda
				
				
			
				Lot 2
				
				
				
				
					
					Anónima Empresa de Construção Lda
				
				
			
				Lot 2
				
				
				
				
					
					Beledin , Construção Civil Lda
				
				
			
				Lot 2
				
				
				
				
					
					CASTLING
				
				
			
				Lot 2
				
				
				
				
					
					Potencial Abcissa Construções Unipessoal Lda","Lot 1 Bid 1
				
				
				
				
					€ 22,995
				
				
			
				Lot 2 Bid 1
				
				
				
				
					€ 22,995"
152,,,"Instituto dos Registos e do Notariado, I. P.","PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria","€ 109,200"
153,,,Município de Azambuja,Ana Luísa Brigantim Pereira Bochicchio,"€ 9,000"
154,,,Serviços Municipalizados de Água e Saneamento de Sintra,"ONITELECOM - Infocomunicações, S.A.
				
				
			
				
				
				
				
				
					
					Onitelecom-Infocomunicações,S.A.","Bid 1
				
				
				
				
					€ 2,255"
155,,,"Casa Pia de Lisboa, I. P.",Tintas Marilina S.A.,"€ 2,354.7"
156,,,Adm.Reg.de Saúde de Lisboa e Vale do Tejo (ARSLVT),"Canon Portugal, S.A.","€ 4,453.6"
157,,,Município de Arouca,"Movex - Produção, Venda e Aluguer de Módulos Pre Fabricados, SA","€ 7,386"
158,,,Município de Chaves,Manuel Joaquim dos Santos Gonçalves,"€ 7,080.5"
159,,,"Instituto Nacional de Investigação Agrária e Veterinária, I. P.","DATELKA - Engenharia e Sistemas, LDA.","€ 2,000"
160,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
