Key,English Words,Translation
booking_from_to,Booking From - To,_________മുതൽ ________ വരെയുള്ള ബുക്കിംഗ്
booking_other_charges,Booking Other Charges,ബുക്കിംഗിൻ്റെ മറ്റു ചാർജ്ജുകൾ
booking_transfer,Booking Transfer,ബുക്കിംഗ് ട്രാൻസ്ഫർ
booking_type,Booking Type,ബുക്കിംഗിൻ്റെ തരം 
booking_remark,Booking Remark,ബുക്കിംഗിനെക്കുറിച്ചുള്ള കുറിപ്പ്
label_both,Both,രണ്ടും
branch_agent_booking_report,Branch /Agent Booking Report,ബ്രാഞ്ചിൻ്റെ/ഏജൻ്റിൻ്റെ ബുക്കിംഗ് റിപ്പോർട്ട്
tv_brach_phone,Branch phone,ബ്രാഞ്ചിൻ്റെ ഫോൺ
branch_recharge,Branch Recharge,ബ്രാഞ്ച് റീചാർജ്ജ്
branch_recharge_is_not_allowed,Branch recharge is not allowed,ബ്രാഞ്ച് റീചാർജ്ജ് അനുവദനീയമല്ല
branch_stock,Branch Stock,ബ്രാഞ്ചിലെ സ്റ്റോക്ക്
dispatch_report_type_7,Branch Summary,ബ്രാഞ്ചിൻ്റെ സംക്ഷേപം
branch_transfer,Branch Transfer,ബ്രാഞ്ച് ട്രാൻസ്ഫർ
branch_transfer_receive,Branch Transfer Receive,ബ്രാഞ്ച് ട്രാൻസ്ഫർ കൈപ്പറ്റുക
branch_transfer_received,Branch Transfer Received,ബ്രാഞ്ച് ട്രാൻസ്ഫർ കൈപ്പറ്റി
label_branch_name,Branch:,ബ്രാഞ്ച്:
broker,Broker,ബ്രോക്കർ
bus_advance,Bus Advance,ബസ്സിൻ്റെ അഡ്വാൻസ്
bus_no,Bus No,ബസ്സിൻ്റെ നമ്പർ
bus_qrs,Bus QRs,ബസ്സിൻ്റെ ക്യു ആറുകൾ
tracking,Bus Tracking,ബസ്സിൻ്റെ ട്രാക്കിംഗ്
bus_transactions,Bus transaction,ബസ്സിൻ്റെ ഇടപാടുകൾ
by_branch,By branch,ബ്രാഞ്ചിൽ നിന്ന്
camera,Camera,ക്യാമറ
cancel_chart,Cancel chart,ചാർട്ട് റദ്ദാക്കുക 
toolbar_dispatched,Cancel Dispatch,അയക്കുന്നത് റദ്ദാക്കുക
cancel_transfer,Cancel Transfer,ട്രാൻസ്ഫർ റദ്ദാക്കുക
label_cancel_by_branch,CAND Branch,ബ്രാഞ്ച് റദ്ദാക്കുക
label_cancel_date,CAND Date,തീയതി റദ്ദാക്കുക
label_cancel_by_user,CAND User,ഉപയോക്താവിനെ റദ്ദു ചെയ്യുക
ezetap_payment,Card payment,കാർഡ് പേമെൻ്റ്
toolbar_rate_inquiry,Cargo | Rate\ETA Inquiry,ചരക്ക് | നിരക്ക് \ ഇടിഎ എൻക്വയറി
cartage,Cartage,വണ്ടിക്കൂലി
cash_amount,Cash Amount,റൊക്കം തുക
cash_transactions_and_no_concession,Cash Transactions and No Concession,"റൊക്കം പണമിടപാട്, ആനുകൂല്യം ഇല്ല"
cash,Cash,റൊക്കം പണം 
cb_cash_amount,CB Cash amount,സിബി റൊക്കം തുക
cb_non_cash_amount,CB Non Cash amount,സിബി റൊക്കം പണമല്ലാത്ത തുക
cc_earned,CC Earned,സിസി സമ്പാദ്യം 
challan_no,Challan No,ചലാൻ നമ്പർ
challan_wise,Challan wise,ചലാൻ പ്രകാരം 
chart_arrangement_transfer,Chart / Arrangement transfer,ചാർട്ട് / അറേഞ്ച്മെൻ്റ് ട്രാൻസ്ഫർ
chart_date_wise_report,Chart Date Wise Report,ചാർട്ടിലെ തീീതി പ്രകാരമുള്ള റിപ്പോർട്ട്
toolbar_chart_details,Chart Details,ചാർട്ടിലെ വിശദവിവരങ്ങൾ
toolbar_chart_transfer,Chart Transfer,ചാർട്ട് ട്രാൻസ്ഫർ
check_pos_card_and_upi_qr_transaction_details,Check POS Card & UPI QR Transaction Details,"പി ഒ എസ്, കാർഡ്, യു പി ഐ ക്യു ആർ എന്നീ ഇടപാടുകളുടെ വിശദവിവരങ്ങൾ പരിശോധിക്കുക"
mode_type,Cheque / Draft / Card #,ചെക്ക് /  ഡ്രാഫ്ട് / കാർഡ് എന്നിവയുടെ നമ്പർ
choose_date,Choose a payment date!,പണടവിൻ്റെ ഒരു തീയതി തിരഞ്ഞെടുക്കുക
close,Close,ക്ലോസ് ചെയ്യുക
close_all,Close All,എല്ലാം ക്ലോസ് ചെയ്യുക 
cm,cm,സെൻ്റിമീറ്റർ
close_sender_details,Close Sender Details,അയക്കുന്ന വ്യക്തിയുടെ വിശദവിവരങ്ങൾ ക്ലോസ് ചെയ്യുക
comm,Comm,പൊതുവായത്
common_lr,Common LR,സാധാരണ എൽ ആർ
company,Company,കമ്പനി
company_branch_user_qr,"Company, Branch, User QR","കമ്പനി ബ്രാഞ്ച്, ഉപയോക്താവിൻ്റെ ക്യു ആർ"
label_company_name,Company Name,കമ്പനിയുടെ പേര്
compliance,compliance,അനുവർത്തനം
conc_rate,Concession rate,ആനുകൂല്യത്തിൻ്റെ നിരക്ക്
conc_amt,Conc Amt,ആനൂകൂല്യത്തുക
conc_pass_no,Conc Pass No.,ആനുകൂല്യത്തിൻ്റെ പാസ്സ് നമ്പർ
label_confirm_sms,Confirm SMS,എസ് എം എസ് സ്ഥിരീകരിക്കുക
connect_at_least_4_dots,Connect at least 4 dots,കുറഞ്ഞത് 4 പുള്ളികളെങ്കിലും ബന്ധിപ്പിക്കുക
label_consignee,Consignee,ചരക്ക് ഏറ്റുവാങ്ങുന്ന ആൾ
Consignment,Consignment,ചരക്ക്
consignment_declaration,Consignment Declaration,ചരക്കിനെക്കുറിച്ചുള്ള അറിയിപ്പ്
consignment_refund,Consignment Refund,ചരക്ക് തിരികെ കൊടുക്കൽ 
consignment_type,Consignment Type,ചരക്കിൻ്റെ തരം
label_consignor,Consignor,ചരക്ക് അയക്കുന്ന ആൾ
contact_no,Contact No,ബന്ധപ്പെടുവാനുള്ള നമ്പർ
continue_scan,Continue Scan,സ്കാൻ തുടരുക
copy_fare,Copy fare,കൂലി കോപ്പി ചെയ്യുക
coupon_code,Coupon code,കൂപ്പൺ കോഡ്
coupon_discount,Coupon Discount,കൂപ്പണിലെ ആനുകൂല്യം
label_credit_limit,Credit Limit :,വായ്പയുടെ പരിധി:
crossing,Crossing,ക്രോസിംഗ്
crossing_cartage,Crossing Cartage,വണ്ടിക്കൂലി മറി കടക്കുന്നത് 
crossing_remarks,Crossing Remarks,ക്രോസിംഗ് പ്രസ്താവനകൾ
label_crossings,Crossings,ക്രോസിംഗുകൾ
current_branch,Current Branch,ഇപ്പോഴത്തെ ബ്രാഞ്ച്
current_city,Current City,ഇപ്പോഴത്തെ പട്ടണം
customer_mobile_number,Customer Mobile Number,കസ്റ്റമറുടെ മൊബൈൽ നമ്പർ
customer_name,Customer name,കസ്റ്റമറുടെ പേര്
date,Date,തീയതി
datetime,Date Time,"തീയതിയും, സമയവും"
label_dddv,DDDV,ഡി ഡി ഡി വി 
label_dddv_amount,DDDV Amount,ഡി ഡി ഡി വിയുടെ തുക
label_dddv_dispatch,DDDV Dispatch,ഡി ഡി ഡി വി അയക്കുന്നത്
label_dddv_freight,DDDV Freight,ഡി ഡി ഡി വി ചരക്കുകൂലി
label_dddv_gst_other,DDDV GST + Other,ഡി ഡി ഡി വി ചരക്കുസേവനനികുതി + മറ്റുള്ളവ
label_ddv_count1,DDDV LR Count,ഡി ഡി ഡി വി എൽ ആർ സംഖ്യ 
label_dddv_receive,DDDV Receive,ഡി ഡി ഡി വി കൈപ്പറ്റുന്നത്
label_ddv_count,DDDV Units,ഡി ഡി ഡി വി യൂനിറ്റുകൾ
label_ddv_ftl,DDDV/FTL,ഡി ഡി ഡി വി / എഫ് ടി എൽ
declared_value,Declared Value,പ്രഖ്യാപിതമൂല്യം
delayed_by,Delayed By,വൈകുന്നത്
deletee,Delete,നീക്കം ചെയ്യുക
delivery_date,Delivery date,കൊടുക്കേണ്ട തീയതി
delivery_discount,Delivery Discount,കൊടുക്കുമ്പോഴുള്ള കിഴിവ്
delivery_gst,Delivery GST,കൊടുക്കുമ്പോഴുള്ള ചരക്കുസേവനനികുതി
delivery_hamali_and_extra_hamali,Delivery Hamali and Extra Hamali,"കൊടുക്കുവാനുള്ള ചുമട്ടുകാരനും, അധികം വേണ്ട ചുമട്ടുകാരനും"
delivery_hamali_charges,Delivery Hamali Charges,കൊടുക്കുമ്പോഴുള്ള ചുമട്ടുകൂലി\
delivery_other_charges,Delivery Other Charges,കൊടുക്കുമ്പോഴുള്ള മറ്റു ചാർജ്ജുകൾ
delivery_time,Delivery Time,കൊടുക്കേണ്ട സമയം
delivery_transfer,Delivery Transfer,ഡെലിവറി ട്രാൻസ്ഫർ 
demurrage,Demurrage,ഏറ്റെടുക്കാൻ വൈകുന്നതിനുള്ള നഷ്ടപരിഹാരം 
desc,Desc,ലക്ഷ്യസ്ഥാനം
label_dest_branch,Dest Branch,എത്തേണ്ട ബ്രാഞ്ച്
label_dest_city,Dest City,എത്തേണ്ട പട്ടണം
label_detail,Detail,വിശദാംശം 
receive_report_type_1,Detailed,വിശദമായ
toolbar_detailed_receive_report,Detailed - Receive Report,വിശദമായ - കൈപ്പറ്റിയ റിപ്പോർട്ട്
dispatch_report_type_4,Detailed Summary,വിശദമായ സംഗ്രഹം
device_id,Device Id,ഉപകരണത്തിൻ്റെ ഐഡി
disable_old_devices,Disable Old Devices,പഴയ ഉപകരണങ്ങൾ പ്രവർത്തനരഹിതമാക്കുക
discount_coupon,Discount Coupon,ഡിസ്കൗണ്ട് കൂപ്പൺ
label_dis_from_branch,Disp From Branch,ബ്രാഞ്ചിൽ നിന്ന് അയച്ചു
label_dis_from_city,Disp From City,പട്ടണത്തിൽ നിന്ന് അയച്ചു
dispatch_date_time,Dispacth date time,"അയച്ച തീയതിയും, സമയവും"
label_dispatch_by,Dispatch By,അയച്ച ആൾ
label_dispatch_by_city,Dispatch By City,അയച്ച പട്ടണം
msg_cancel_dispatch_faild,Dispatch Cancelled Fail,അയക്കുന്നത് റദ്ദാക്കിയത് നിഷ്ഫലമായി
msg_cancel_dispatch_success,Dispatch Cancelled Successfully,അയക്കുന്നത്  റദ്ദാക്കിയത് സഫലമായി
label_dispatch_date_range,Dispatch Date Range,അയക്കാനുള്ള തീയതിയുടെ പരിധി
dispatch_date_,Dispatch Date:,അയച്ച തീയതി:
dispatch_from,Dispatch From,അയച്ച സ്ഥലം
label_dispatch_from_branch,Dispatch From Branch,അയച്ച ബ്രാഞ്ച്
dispatch_memo_no,Dispatch memo no,അയച്ചതിൻ്റെ കുറിപ്പിൻ്റെ നമ്പർ
dispatch_more,Dispatch More,കൂടുതൽ അയക്കുക
dispatch_new,Dispatch New,പുതിയത് അയക്കുക
dispatch_no,Dispatch No,അയച്ചതിൻ്റെ നമ്പർ
dispatch_report,Dispatch Report,അയച്ചതിൻ്റെ റിപ്പോർട്ട് 
dispatched_by_branch,Dispatched By Branch,അയച്ച ബ്രാഞ്ച്
dispatched_to,Dispatched To,എവിടേക്ക് അയച്ചു
dispatched_from_city,Dispatched from City,അയച്ച പട്ടണം 
dispatched_successfully,Dispatched Successfully,വിജയകരമായി അയച്ചു
label_dispatch_to_branch,Dispatched To Branch,ഏത് ബ്രാഞ്ചിലേക്ക് അയച്ചു
label_dispatch_to_city,Dispatched To City,ഏത് പട്ടണത്തിലേക്ക് അയച്ചു
download,Download,ഡൗൺലോഡ് ചെയ്യുക
dropoff2,Dropoff :,ഡ്രോപ് ഓഫ്:
dropoff_details,Dropoff Details,ഡ്രോപ് ഓഫിൻ്റെ വിശദവിവരങ്ങൾ
msg_drop_off_loading,Dropoff is loading,ഡ്രോപ് ഓഫ് ലോഡ് ചെയ്തുകൊണ്ടിരിക്കുകയാണ്
dropoff_location,Dropoff Location,ഡ്രോപ് ഓഫിൻ്റെ സ്ഥാനം
edit,Edit,തിരുത്തുക
label_edit_dispatch,Edit Dispatch,അയക്കുന്നത് തിരുത്തുക 
email_id,Email ID,ഇമെയിൽ ഐഡി
enable_printing,Enable Printing,പ്രിൻ്റിംഗ് പ്രവർത്തനസജ്ജമാക്കുക
end_price,End price,അന്തിമമായ വില
enter_booking_id,Enter Booking Id,ബുക്കിംഗ് ഐഡി ചേർക്കുക
label_correct_eway_bill,Enter Correct Eway Bill,ശരിയായ ഇ വേ ബിൽ ചേർക്കുക
enter_coupon_code,Enter Coupon Code,കൂപ്പൺ കോഡ് ചേർക്കുക
otp,Enter OTP,ഒടിപി ചേർക്കുക
enter_passenger_details_to_send_link,Enter passenger details to send link,ലിങ്ക് അയക്കുന്നതിന് യാത്രക്കാരൻ്റെ വിശദാംശങ്ങൾ ചേർക്കുക
enter_passenger_mobile_no,Enter passenger mobile no,യാത്രക്കാരൻ്റെ മൊബൈൽ നമ്പർ ചേർക്കുക
enter_sender_id_number,Enter Sender ID Number,അയക്കുന്ന വ്യക്തിയുടെ ഐഡി നമ്പർ ചേർക്കുക
enter_transaction_code,Enter transaction code,ഇടപാടിൻ്റെ കോഡ് ചേർക്കുക 
enter_vehicle_no,Enter Vehicle No.,വാഹനനമ്പർ ചേർക്കുക
error_non_reporting_seat,Error while non-reporting seats!,റിപ്പോർട്ട് ചെയ്യാത്ത സീറ്റുകളിൽ പിഴവ്!
error_storing_in_cache,Error while storing into cache!,കാഷേയിൽ സ്റ്റോർ ചെയ്യുമ്പോൾ പിഴവ്!
label_eta_days,ETA (Days),എത്തിച്ചേരുമെന്ന് പ്രതീക്ഷിക്കുന്ന സമയം (ദിവസങ്ങൾ)
ewb_status,EWB Status,ഇ ഡബ്ല്യു ബിയുടെ അവസ്ഥ
express_checkout,Express Checkout,വേഗത്തിലുള്ള ചെക്ക് ഔട്ട്
extra_hamali_charges,Extra Hamali Charges,കൂലിക്കാരുടെ അധികം ചാർജ്ജുകൾ
fare_copy,Fare Copy,യാത്രക്കൂലിയുടെ കോപ്പി
fare_in_rupees,Fare in rs,യാത്രക്കൂലി രൂപ
fare_refund,Fare Refund,യാത്രക്കൂലി തിരികെ കൊടുക്കൽ
female,Female,സ്ത്രീ
fetch_pending_transactions,Fetch Pending Transactions,തീർപ്പാക്കാത്ത ഇടപാടുകൾ എടുക്കുക
filter,Filter,ഫിൽട്ടർ 
foc,FOC,എഫ് ഒ സി
label_foc_self_amount,FOC + Self Amount,എഫ് ഒ സി + സെൽഫ് അമൗണ്ട്  
label_foc_self_freight,FOC + Self Freight,എഫ് ഒ സി + സെൽഫ് ഫ്രെയ് റ്റ്
label_foc_self_gst_other,FOC + Self GST+ Other,എഫ് ഒ സി + സെൽഫ് ജി എസ് ടി +മറ്റുള്ളവ
label_foc_self_lr_count1,FOC + Self LR Count,എഫ് ഒ സി + സെൽഫ് എൽ ആർ കൗണ്ട്
label_foc_self_lr_count,FOC + Self Units,എഫ് ഒ സി + സെൽഫ് യൂനിറ്റ് സ്
for_approval,FOC approval authority,എഫ് ഒ സി അംഗീകരിക്കുന്ന അധികാരി
for_security,For security,സെക്യൂരിറ്റിക്കു വേണ്ടി
for_security_confirm_pattern,"For security, Confirm Pattern",സെക്യൂരിറ്റിക്കു വേണ്ടി പാറ്റേൺ ഉറപ്പിക്കുക
four,Four,നാല്
label_amount_tooltext,Freight + Hamali + Cartage,ചരക്കുകൂലി + ചുമട്ടുകൂലി + വണ്ടിക്കൂലി
from_branch,From branch,ബ്രാഞ്ചിൽ നിന്ന്
from_gallery,From Gallery,ഗ്യാലറിയിൽ നിന്ന്
label_from_lr_booking_date,From LR Booking Date,എൽ ആർ ബുക്ക് ചെയ്ത തീയതി മുതൽ
from_stage,From Stage,സ്റ്റേജ് മുതൽ
label_ftl,FTL,എഫ് ടി എൽ 
generated_on,Generated on,ഉണ്ടാക്കിയ തീയതി
generate_qr_for_scanning,Generate QR for scanning,സ്കാനിംഗിനു വേണ്ടി ക്യു ആർ ഉണ്ടാക്കുക
generated_date_and_time,Generated Date and Time,"ഉണ്ടാക്കിയ തീയതിയും, സമയവും"
label_report_generation_time,Generation Time:,ഉണ്ടാക്കിയ സമയം:
get_orders,Get Orders,ഓർഡറുകൾ എടുക്കുക
get_qr_to_scan,Get QR to scan,സ്കാൻ ചെയ്യാൻ വേണ്ടി ക്യു ആർ എടുക്കുക
label_go,GO,ഗോ
go_to_seatchart,go to seat chart,സീറ്റ് ചാർട്ടിലേക്ക് പോവുക
godown,Godown,ഗോഡൗൺ
loading_godown_city_list,Godown City List is loading!,ഗോഡൗൺ സിറ്റി ലിസ്റ്റ് ലോഡ് ചെയ്തു കൊണ്ടിരിക്കുകയാണ്!
group_boarding_report,Group Boarding Report,ഗ്രൂപ്പ് ബോർഡിംഗ് റിപ്പോർട്ട്
gst_on_cc_plus,GST on CC (+) :,സിസി(+)യുടെ മേലുള്ള ചരക്കുസേവനനികുതി:
gstn_paid_by_transporter,(GSTN paid by Transporter),(ജി എസ് ടി എൻ ട്രാൻസ്പോർട്ടർ അടച്ചു)
gstn,GSTN,ജി എസ് ടി എൻ 
hamali_and_operator_hamali,Hamali and Operator Hamali,"ചുമട്ടുകാരനും, ജോലി ചെയ്യുന്ന ചുമട്ടുകാരനും "
label_hide_qr,Hide QR,ക്യു ആർ രഹസ്യമായി വെക്കുക
hired_vehicle,Hired vehicle,വാടകക്കെടുത്ത വാഹനം
hold_release,Hold release,വിട്ടുകൊടുക്കുന്നത് നിർത്തി വെക്കുക
hrs,Hrs,മണിക്കൂറുകൾ
i_was_there,I was there,ഞാൻ അവിടെ ഉണ്ടായിരുന്നു
in_bus_bookings,In Bus Bookings,ബസ് ബുക്കിംഗുകളിൽ
inch,inch,ഇഞ്ച്
label_correct_information,Is the information correct?,ഈ വിവരം ശരിയാണോ?
isd_code,ISD,ഐ എസ് ഡി
issuer,Issuer,ഇഷ്യൂ ചെയ്ത വ്യക്തി
item_name,Item Name,വസ്തുവിൻ്റെ പേര്
item_type_,Item type,വസ്തുവിൻ്റെ തരം
jour_dt,Jour. Dt,യാത്ര ചെയ്യുന്ന ജില്ല
tv_landmark,Landmark,അടയാളം 
legal_compliance,Legal Compliance,നിയമാനുസൃതമായ അനുവർത്തിത്വം
less,Less,കുറവ്
lit,LIT,എൽ ഐ ടി
loading_data,Loading Data...,ഡാറ്റ ലോഡ് ചെയ്തു കൊണ്ടിരിക്കുന്നു…
label_location_not_provided,Location is not provided,ലൊക്കേഷൻ തന്നിട്ടില്ല
tv_location_name,Location name,ലൊക്കേഷൻ്റെ പേര്
tv_location_time,Location time,ലൊക്കേഷനിലെ സമയം
location_sync_is_in_progress,Location sync is in progress...,ലൊക്കേഷനുമായി യോജിപ്പിക്കുന്നത് പുരോഗമിച്ചു കൊണ്ടിരിക്കുകയാണ്....
label_lr_count,LR Count/Unit,എൽ ആർ കൗണ്ട് / യൂനിറ്റ് 
label_lr_details,LR Details,എൽ ആറിൻ്റെ വിശദവിവരങ്ങൾ
lr_number,LR Number,എൽ ആർ നമ്പർ
lr_report,LR Report,എൽ ആർ റിപ്പോർട്ട്
lrs,LRs,എൽ ആറുകൾ
luggage_short_received_successfully,Luggage Short Received Successfully!,ലഗേജ് ഷോർട്ട് വിജയകരമായി കൈപ്പറ്റി!
male,Male,പുരുഷൻ
manage_devices,Manage Devices,ഉപകരണങ്ങൾ കൈകാര്യം ചെയ്യുക
travels_name,Mantis travels,മാൻ്റിസ് ട്രാവൽസ്
manuel_lr_no,Manual LR No,മാന്വൽ എൽ ആർ നമ്പർ
method_of_packing,Method Of Packing,പാക്കിംഗിൻ്റെ രീതി
cover_freight_restrictions,Minimum freight should be 40,ചരക്കിൻ്റെ ഏറ്റവും കുറഞ്ഞ ഭാരം 40 ആയിരിക്കണം 
packet_freight_restrictions,Minimum freight should be 90,ചരക്കിൻ്റെ ഏറ്റവും കുറഞ്ഞ ഭാരം 90 ആയിരിക്കണം
mins,Mins,മിനിട്ടുകൾ
mm,mm,മില്ലിമീറ്റർ
mobile_number,Mobile number,മൊബൈൽ നമ്പർ
mod_charges_plus,Mod. charges (+) :,മോഡ് ചാർജ്ജുകൾ (+):
month,Month,മാസം 
monthly,Monthly,മാസം തോറും
more,More,കൂടുതൽ
label_more,more,കൂടുതൽ 
net_fare,Net fare,മൊത്തം യാത്രാക്കൂലി
net_fare_with_gst,Net fare with GST,ചരക്കുസേവനനികുതിയടക്കമുള്ള മൊത്തം യാത്രാക്കൂലി
netrate,Netrate,മൊത്തം നിരക്ക്
net_total,Net Total,ആകെ മൊത്തം 
neww,New,പുതിയത്
new_bus_type,New Bus Type,പുതിയ ബസ്സിൻ്റെ തരം
label_new_Seat_chart,new Chart,പുതിയ ചാർട്ട്
label_new_drop_off,New Dropoff,പുതിയ ഡ്രോപ് ഓഫ്
label_new_pick_up,New Pickup,പുതിയ പിക്കപ്പ്
label_new_seat,New Seats,പുതിയ സീറ്റുകൾ
next_trips,Next Trips,പുതിയ ട്രിപ്പുകൾ
no_data_found,No Data Found,ഒരു ഡാറ്റയും കാണാനില്ല
no_godown_branch_found,No Godown Branch Found,ഗോഡൗണിൻ്റെ ഒരു ബ്രാഞ്ചും കാണാനില്ല 
no_godown_cities,No Godown Cities Found,ഗോഡൗണുള്ള ഒരു പട്ടണവും കാണാനില്ല
dispatch_report_type_8,No Vehicle Group,ഒരു വെഹിക്കിൾ ഗ്രൂപ്പുമില്ല
non_cash_amount,Non Cash amount,റൊക്കം പണമല്ലാതെയുള്ള തുക
non_report_seat,Non Report Seat,നോൺ റിപ്പോർട്ട് സീറ്റ്
label_nop_units,NOP/Units,എൻ ഒ പി / യൂനിറ്റുകൾ
not_available,Not Available,ലഭ്യമല്ല
number_given,Number given,നൽകിയിരിക്കുന്ന നമ്പർ 
label_offline,Offline,ഓഫ് ലൈൻ
offline_bkg_cash_amnt,Offline Bkg Cash Amt,ഓഫ് ലൈൻ ബുക്കിംഗിൻ്റെ റൊക്കം തുക
offline_bkg_non_cash_amnt,Offline Bkg Non Cash Amt,ഓഫ് ലൈൻ ബുക്കിംഗിൻ്റെ റൊക്കമല്ലാത്ത തുക
label_old_Seat_chart,Old Chart,പഴയ ചാർട്ട്
label_old_drop_off,Old Dropoff,പഴയ ഡ്രോപ് ഓഫ്
label_old_pick_up,Old Pickup,പഴയ പിക്കപ്പ്
label_old_seat,Old Seats,പഴയ സീറ്റുകൾ
onaccount,OnAccount,ഓൺ അക്കൗണ്ട്
label_on_account_amount,OnAccount Amount,ഓൺ അക്കൗണ്ട് തുക
label_on_account_amt,OnAccount Amt,ഓൺ അക്കൗണ്ട് തുക
label_on_account_freight,OnAccount Freight,ഓൺ അക്കൗണ്ട് ചരക്കുകൂലി
label_on_account_gst_other,OnAccount GST + Other,ഓൺ അക്കൗണ്ട് ചരക്കുസേവനനികുതി  + മറ്റുള്ളവ
label_on_account_lr_count1,OnAccount LR Count,ഓൺ അക്കൗണ്ട് എൽ ആർ കൗണ്ട്
label_on_account_lr_count,OnAccount Units,ഓൺ അക്കൗണ്ട് യൂനിറ്റുകൾ
label_online,Online,ഓൺലൈൻ
op_name,Opearor name,ഓപ്പറേറ്ററുടെ പേര്
open_report,Open Report,ഓപ്പൺ റിപ്പോർട്ട്
open_ticket,Open Ticket,ഓപ്പൺ ടിക്കറ്റ്
operator_hamali,Operator Hamali,ജോലിയെടുക്കുന്ന ചുമട്ടുകാരൻ 
or,Or,അല്ലെങ്കിൽ
order_id,Order ID,ഓർഡർ ഐഡി
order_list,Order list,ഓർഡർ ലിസ്റ്റ്
other_charges,Other Charges,മറ്റു ചാർജ്ജുകൾ
other_expenses,Other expenses,മറ്റു ചിലവുകൾ
other_qrs,Other QRs,മറ്റ് ക്യു ആറുകൾ
other_transactions,Other transactions,മറ്റ് ഇടപാടുകൾ
otp_sent_to_your_mobile_number,OTP sent to you mobile number,ഒടിപി നിങ്ങളുടെ മൊബൈൽ നമ്പറിലേക്ക് അയച്ചിരിക്കുന്നു
label_paid_amount,Paid Amount,അടച്ച തുക
label_paid_freight,Paid Freight,അടച്ച ചരക്കുകൂലി
label_paid_gst_other,Paid GST + Other,അടച്ച ചരക്കുകൂലി + മറ്റുള്ളവ 
label_paid_lr_count1,Paid LR Count,അടച്ച എൽ ആർ കൗണ്ട്
label_paid_lr_count,Paid Units,അടച്ച യൂനിറ്റുകൾ
party_address,Party Address,കക്ഷിയുടെ അഡ്രസ്സ്
