Key,English Words,Translation
bus_no,Bus No,बस संख्या
bus_qrs,Bus QRs,बस क्यूआर
tracking,Bus Tracking,बस ट्रैकिंग
bus_transactions,Bus transaction,बस लेनदेन
by_branch,By branch,शाखा द्वारा
camera,Camera,कैमरा
cancel_chart,Cancel chart,कैंसल चार्ट /चार्ट रद्द करें
toolbar_dispatched,Cancel Dispatch,कैंसल डिस्पैच / डिस्पैच रद्द करें
cancel_transfer,Cancel Transfer,कैंसल ट्रांसफर/ स्थानांतरण रद्द करें
label_cancel_by_branch,CAND Branch,सी.ए.एन.डी/CAND शाखा
label_cancel_date,CAND Date,सी.ए.एन.डी/CAND तिथि
label_cancel_by_user,CAND User,सी.ए.एन.डी/CAND उपयोगकर्ता
ezetap_payment,Card payment,कार्ड भुगतान
toolbar_rate_inquiry,Cargo | Rate\ETA Inquiry,कार्गो मूल्य \ई.टी.ए. पूछताछ
cartage,Cartage,कार्टेज
cash_amount,Cash Amount,नकद राशि
cash_transactions_and_no_concession,Cash Transactions and No Concession,नकद लेनदेन और कोई छूट नहीं
cash,Cash,नकद
cb_cash_amount,CB Cash amount,सीबी नकद राशि
cb_non_cash_amount,CB Non Cash amount,सीबी गैर नकद राशि
cc_earned,CC Earned,कमाई गयी सी.सी.
challan_no,Challan No,चालान संख्या
challan_wise,Challan wise,चालान अनुसार
chart_arrangement_transfer,Chart / Arrangement transfer,चार्ट/व्यवस्था स्थानांतरण
chart_date_wise_report,Chart Date Wise Report,चार्ट तिथि वार रिपोर्ट
toolbar_chart_details,Chart Details,चार्ट विवरण
toolbar_chart_transfer,Chart Transfer,चार्ट स्थानांतरण
check_pos_card_and_upi_qr_transaction_details,Check POS Card & UPI QR Transaction Details,पीओएस कार्ड और यूपीआई क्यूआर लेनदेन विवरण की जांच करें
mode_type,Cheque / Draft / Card #,चेक / ड्राफ्ट / कार्ड #
choose_date,Choose a payment date!,भुगतान तिथि चुनें
close,Close,बंद करना
close_all,Close All,सब बंद करें
cm,cm,सी.एम्.
close_sender_details,Close Sender Details,सेंडर का विवरण बंद करें
comm,Comm,सीओएमएम
common_lr,Common LR,सामान्य एलआर
company,Company,कंपनी
company_branch_user_qr,"Company, Branch, User QR","कंपनी, शाखा, उपयोगकर्ता क्यूआर"
label_company_name,Company Name,कंपनी का नाम
compliance,compliance,अनुपालन
conc_rate,Concession rate,रियायती दर
conc_amt,Conc Amt,रियायती राशि
conc_pass_no,Conc Pass No.,रियायती पास संख्या
label_confirm_sms,Confirm SMS,एसएमएस की पुष्टि करें
connect_at_least_4_dots,Connect at least 4 dots,कम से कम 4 बिंदु कनेक्ट करें
label_consignee,Consignee,कंसाईनी
Consignment,Consignment,कंसाईन्मेंट
consignment_declaration,Consignment Declaration,कंसाईन्मेंट  घोषणा
consignment_refund,Consignment Refund,कंसाईन्मेंट  रीफंड
consignment_type,Consignment Type,कंसाईन्मेंट का प्रकार
label_consignor,Consignor,कंसाईनर
contact_no,Contact No,संपर्क संख्या
continue_scan,Continue Scan,स्कैन जारी रखें
copy_fare,Copy fare,किराया कॉपी करें
coupon_code,Coupon code,कूपन कोड
coupon_discount,Coupon Discount,कूपन छूट
label_credit_limit,Credit Limit :,क्रेडिट सीमा :
crossing,Crossing,क्रासिंग
crossing_cartage,Crossing Cartage,क्रॉसिंग कार्टेज
crossing_remarks,Crossing Remarks,क्रॉसिंग टिप्पणियाँ
label_crossings,Crossings,क्रॉसिंग
current_branch,Current Branch,वर्तमान शाखा
current_city,Current City,वर्तमान शहर
customer_mobile_number,Customer Mobile Number,ग्राहक का मोबाइल संख्या
customer_name,Customer name,ग्राहक का नाम
date,Date,तिथि
datetime,Date Time,तिथि समय
label_dddv,DDDV,डीडीडीवी
label_dddv_amount,DDDV Amount,डीडीडीवी राशि
label_dddv_dispatch,DDDV Dispatch,डीडीडीवी डिस्पैच
label_dddv_freight,DDDV Freight,डीडीडीवी माल धुलाई किराया
label_dddv_gst_other,DDDV GST + Other,डीडीडीवी जीएसटी + अन्य
label_ddv_count1,DDDV LR Count,डीडीडीवी एलआर गणना
label_dddv_receive,DDDV Receive,डीडीडीवी प्राप्त करना
label_ddv_count,DDDV Units,डीडीडीवी इकाइयां
label_ddv_ftl,DDDV/FTL,डीडीडीवी/एफटीएल
declared_value,Declared Value,घोषित मूल्य
delayed_by,Delayed By,द्वारा विलंबित
deletee,Delete,मिटाएं
delivery_date,Delivery date,डिलीवरी की तिथि
delivery_discount,Delivery Discount,डिलिवरी छूट
delivery_gst,Delivery GST,डिलिवरी जीएसटी
delivery_hamali_and_extra_hamali,Delivery Hamali and Extra Hamali,डिलिवरी हमाली और अतिरिक्त हमाली
delivery_hamali_charges,Delivery Hamali Charges,डिलिवरी हमाली शुल्क
delivery_other_charges,Delivery Other Charges,डिलिवरी अन्य शुल्क
delivery_time,Delivery Time,डिलीवरी का समय
delivery_transfer,Delivery Transfer,डिलिवरी स्थानांतरण
demurrage,Demurrage,डीमुरेज
desc,Desc,डीईएसससी
label_dest_branch,Dest Branch,गंतव्य/डेस्टिनेशन शाखा
label_dest_city,Dest City,गंतव्य/डेस्टिनेशन शहर
label_detail,Detail,विवरण
receive_report_type_1,Detailed,विस्तृत
toolbar_detailed_receive_report,Detailed - Receive Report,विस्तृत - रिपोर्ट प्राप्त करना
dispatch_report_type_4,Detailed Summary,विस्तृत सारांश
device_id,Device Id,डिवाइस आईडी
disable_old_devices,Disable Old Devices,पुराने डिवाइस अक्षम करें
discount_coupon,Discount Coupon,डिस्काउंट कूपन
label_dis_from_branch,Disp From Branch,शाखा से डिस्पैच
label_dis_from_city,Disp From City,शहर से डिस्पैच
dispatch_date_time,Dispacth date time,डिस्पैच तिथि समय
label_dispatch_by,Dispatch By,किसके द्वारा डिस्पैच
label_dispatch_by_city,Dispatch By City,शहर द्वारा डिस्पैच
msg_cancel_dispatch_faild,Dispatch Cancelled Fail,डिस्पैच रद्द विफल
msg_cancel_dispatch_success,Dispatch Cancelled Successfully,डिस्पैच सफलतापूर्वक रद्द कर दिया गया
label_dispatch_date_range,Dispatch Date Range,डिस्पैच तिथि सीमा
dispatch_date_,Dispatch Date:,डिस्पैच की तिथि:
dispatch_from,Dispatch From,कहाँ से डिस्पैच
label_dispatch_from_branch,Dispatch From Branch,किस शाखा से डिस्पैच
dispatch_memo_no,Dispatch memo no,डिस्पैच मेमो संख्या
dispatch_more,Dispatch More,अधिक डिस्पैच
dispatch_new,Dispatch New,नया डिस्पैच
dispatch_no,Dispatch No,डिस्पैच संख्या
dispatch_report,Dispatch Report,डिस्पैच रिपोर्ट
dispatched_by_branch,Dispatched By Branch,किस शाखा द्वारा डिस्पैच किया गया
dispatched_to,Dispatched To,किसे डिस्पैच किया गया
dispatched_from_city,Dispatched from City,किस शहर से डिस्पैच किया गया
dispatched_successfully,Dispatched Successfully,सफलतापूर्वक डिस्पैच किया गया
label_dispatch_to_branch,Dispatched To Branch,किस शाखा में डिस्पैच किया गया
label_dispatch_to_city,Dispatched To City,किस शहर में डिस्पैच किया गया
download,Download,डाउनलोड करें
dropoff2,Dropoff :,ड्राप ऑफ
dropoff_details,Dropoff Details,ड्रॉपऑफ़ विवरण
msg_drop_off_loading,Dropoff is loading,ड्रॉपऑफ़ लोड हो रहा है
dropoff_location,Dropoff Location,ड्रॉप ऑफ स्थान
edit,Edit,बदलें
label_edit_dispatch,Edit Dispatch,डिस्पैच बदलें
email_id,Email ID,ईमेल आईडी
enable_printing,Enable Printing,प्रिंटिंग सक्षम करें
end_price,End price,एंड मूल्य
enter_booking_id,Enter Booking Id,बुकिंग आईडी दर्ज करें
label_correct_eway_bill,Enter Correct Eway Bill,सही ईवे बिल दर्ज करें
enter_coupon_code,Enter Coupon Code,कूपन कोड दर्ज करें
otp,Enter OTP,ओटीपी दर्ज करें
enter_passenger_details_to_send_link,Enter passenger details to send link,लिंक भेजने के लिए यात्री विवरण दर्ज करें
enter_passenger_mobile_no,Enter passenger mobile no,यात्री का मोबाइल संख्या दर्ज करें
enter_sender_id_number,Enter Sender ID Number,भेजने वाले की पहचान प्रमाण/ आईडी संख्या दर्ज करें
enter_transaction_code,Enter transaction code,लेनदेन कोड दर्ज करें
enter_vehicle_no,Enter Vehicle No.,वाहन क्रमांक दर्ज करें
error_non_reporting_seat,Error while non-reporting seats!,नॉन-रिपोर्टिंग सीट के समय त्रुटि
error_storing_in_cache,Error while storing into cache!,कैशे में भंडारित करते समय त्रुटि
label_eta_days,ETA (Days),आने का अपेक्षित समय/ई.टी.ए. (दिन)
ewb_status,EWB Status,ईडब्ल्यूबी स्थिति
express_checkout,Express Checkout,एक्सप्रेस चेक आउट
extra_hamali_charges,Extra Hamali Charges,अतिरिक्त हमाली शुल्क
fare_copy,Fare Copy,किराया कॉपी करना
fare_in_rupees,Fare in rs,किराया रुपये में
fare_refund,Fare Refund,किराया रीफंड
female,Female,महिला
fetch_pending_transactions,Fetch Pending Transactions,लंबित लेनदेन प्राप्त करें
filter,Filter,फ़िल्टर
foc,FOC,एफओसी
label_foc_self_amount,FOC + Self Amount,एफओसी + सेल्फ राशि
label_foc_self_freight,FOC + Self Freight,एफओसी + सेल्फ फ्रेट
label_foc_self_gst_other,FOC + Self GST+ Other,एफओसी + सेल्फ जीएसटी + अन्य
label_foc_self_lr_count1,FOC + Self LR Count,एफओसी + सेल्फ एलआर काउंट
label_foc_self_lr_count,FOC + Self Units,एफओसी + सेल्फ इकाइयां
for_approval,FOC approval authority,एफओसी अनुमोदन अधिकारी
for_security,For security,सुरक्षा के लिए
for_security_confirm_pattern,"For security, Confirm Pattern","सुरक्षा के लिए, पैटर्न की पुष्टि करें"
four,Four,चार
label_amount_tooltext,Freight + Hamali + Cartage,माल ढुलाई/फ्रेट + हमाली + ढुलाई
from_branch,From branch,शाखा से
from_gallery,From Gallery,गैलरी से
label_from_lr_booking_date,From LR Booking Date,एलआर बुकिंग तिथि से
from_stage,From Stage,स्टेज से
label_ftl,FTL,एफटीएल
generated_on,Generated on,कब उत्पन्न किया गया/कब बनाया गया
generate_qr_for_scanning,Generate QR for scanning,स्कैनिंग के लिए क्यूआर बनाएं
generated_date_and_time,Generated Date and Time,उत्पन्न की गई तिथि और समय
label_report_generation_time,Generation Time:,उत्पादन समय:
get_orders,Get Orders,ऑर्डर प्राप्त करें
get_qr_to_scan,Get QR to scan,स्कैन करने के लिए क्यूआर प्राप्त करें
label_go,GO,जाएं
go_to_seatchart,go to seat chart,सीट चार्ट पर जाएं
godown,Godown,गोदाम
loading_godown_city_list,Godown City List is loading!,गोदाम शहर सूची लोड हो रही है!
group_boarding_report,Group Boarding Report,ग्रुप बोर्डिंग रिपोर्ट
gst_on_cc_plus,GST on CC (+) :,सीसी(+) पर जीएसटी :
gstn_paid_by_transporter,(GSTN paid by Transporter),(ट्रांसपोर्टर द्वारा भुगतान किया गया जीएसटीएन)
gstn,GSTN,जीएसटीएन
hamali_and_operator_hamali,Hamali and Operator Hamali,हमाली और संचालक हमाली
label_hide_qr,Hide QR,क्यूआर छुपाएं
hired_vehicle,Hired vehicle,किराए पर वाहन
hold_release,Hold release,रिलीज़ रोकें
hrs,Hrs,घंटे
i_was_there,I was there,मैं वहां था
in_bus_bookings,In Bus Bookings,बस बुकिंग में
inch,inch,इंच
label_correct_information,Is the information correct?,क्या जानकारी सही है?
isd_code,ISD,आईएसडी
issuer,Issuer,जारीकर्ता
item_name,Item Name,वस्तु का नाम
item_type_,Item type,वस्तु का प्रकार
jour_dt,Jour. Dt,यात्रा तिथि
tv_landmark,Landmark,लैंडमार्क
legal_compliance,Legal Compliance,कानूनी अनुपालन
less,Less,कम
lit,LIT,एलआईटी
loading_data,Loading Data...,डेटा लोड हो रहा है...
label_location_not_provided,Location is not provided,स्थान उपलब्ध नहीं कराया गया है
tv_location_name,Location name,स्थान का नाम
tv_location_time,Location time,स्थान का समय
location_sync_is_in_progress,Location sync is in progress...,स्थान सिंकिंग की क्रिया हो रही है
label_lr_count,LR Count/Unit,एलआर गणना/यूनिट
label_lr_details,LR Details,एलआर विवरण
lr_number,LR Number,एलआर संख्या
lr_report,LR Report,एलआर रिपोर्ट
lrs,LRs,एलआरएस
luggage_short_received_successfully,Luggage Short Received Successfully!,कम सामान सफलतापूर्वक प्राप्त हुआ!
male,Male,पुरुष
manage_devices,Manage Devices,डिवाइस प्रबंधित करें
travels_name,Mantis travels,मेंटिस यात्राएं
manuel_lr_no,Manual LR No,मैनुअल एलआर संख्या
method_of_packing,Method Of Packing,पैकिंग तिथि
cover_freight_restrictions,Minimum freight should be 40,न्यूनतम भाड़ा/किराया 40 होना चाहिए
packet_freight_restrictions,Minimum freight should be 90,न्यूनतम भाड़ा/किराया 90 होना चाहिए
mins,Mins,मिनट
mm,mm,मिमी
mobile_number,Mobile number,मोबाइल संख्या
mod_charges_plus,Mod. charges (+) :,शुल्क संशोधित करें (+) :
month,Month,महीना
monthly,Monthly,मासिक
more,More,अधिक
label_more,more,अधिक
net_fare,Net fare,शुद्ध किराया
net_fare_with_gst,Net fare with GST,जीएसटी के साथ शुद्ध किराया
netrate,Netrate,शुद्ध दर
net_total,Net Total,शुद्ध योग
neww,New,नया
new_bus_type,New Bus Type,नई बस का प्रकार
label_new_Seat_chart,new Chart,नया चार्ट
label_new_drop_off,New Dropoff,नया ड्रॉपऑफ़
label_new_pick_up,New Pickup,नया पिकअप
label_new_seat,New Seats,नई सीटें
next_trips,Next Trips,अगली यात्राएँ
no_data_found,No Data Found,डेटा प्राप्त नहीं हुआ
no_godown_branch_found,No Godown Branch Found,कोई गोदाम शाखा नहीं मिली
no_godown_cities,No Godown Cities Found,कोई गोदाम शहर नहीं मिला
dispatch_report_type_8,No Vehicle Group,कोई वाहन समूह नहीं
non_cash_amount,Non Cash amount,गैर नकद राशि
non_report_seat,Non Report Seat,नॉन रिपोर्ट सीट
label_nop_units,NOP/Units,एनओपी/इकाइयाँ
not_available,Not Available,उपलब्ध नहीं है
number_given,Number given,दी गयी संख्याएं
label_offline,Offline,ऑफलाइन
offline_bkg_cash_amnt,Offline Bkg Cash Amt,ऑफ़लाइन बीकेजी नकद राशि
offline_bkg_non_cash_amnt,Offline Bkg Non Cash Amt,ऑफ़लाइन बीकेजी गैर नकद राशि
label_old_Seat_chart,Old Chart,पुराना चार्ट
label_old_drop_off,Old Dropoff,पुराना ड्रॉपऑफ़
label_old_pick_up,Old Pickup,पुराना पिकअप
label_old_seat,Old Seats,पुरानी सीटें
onaccount,OnAccount,खाते पर
label_on_account_amount,OnAccount Amount,खाते पर राशि
label_on_account_amt,OnAccount Amt,खाते पर राशि
label_on_account_freight,OnAccount Freight,खाते पर माल ढुलाई/फ्रेट
label_on_account_gst_other,OnAccount GST + Other,खाते पर जीएसटी + अन्य
label_on_account_lr_count1,OnAccount LR Count,खाते पर एलआर गणना
label_on_account_lr_count,OnAccount Units,खाते पर इकाइयाँ
label_online,Online,ऑनलाइन
op_name,Opearor name,संचालक का नाम
open_report,Open Report,रिपोर्ट खोलें
open_ticket,Open Ticket,टिकट खोलें
operator_hamali,Operator Hamali,संचालक हमाली
or,Or,या
order_id,Order ID,ऑर्डर आईडी
order_list,Order list,ऑर्डर सूची
other_charges,Other Charges,अन्य शुल्क
other_expenses,Other expenses,अन्य व्यय
other_qrs,Other QRs,अन्य क्यूआर
other_transactions,Other transactions,अन्य लेन-देन
otp_sent_to_your_mobile_number,OTP sent to you mobile number,आपके मोबाइल संख्या पर ओटीपी भेजा गया
label_paid_amount,Paid Amount,भुगतान की गई राशि
label_paid_freight,Paid Freight,माल ढुलाई/फ्रेट का भुगतान किया गया
label_paid_gst_other,Paid GST + Other,भुगतान किया गया जीएसटी + अन्य
label_paid_lr_count1,Paid LR Count,भुगतान किया गया एलआर काउंट
label_paid_lr_count,Paid Units,भुगतान की गई इकाइयाँ
party_address,Party Address,पार्टी का पता
party_bill_date,Party Bill Date,पार्टी बिल तिथि
party_bill_value,Party Bill Value,पार्टी बिल मूल्य
party_credit_limit,Party creditLimit,पार्टी क्रेडिट सीमा
party_details,Party Details,पार्टी विवरण
party_email_id,Party Email ID,पार्टी ईमेल आईडी
party_gstn,Party GSTN,पार्टी जीएसटीएन
hint_party_id,Party ID,पार्टी आईडी/पहचान प्रमाण
party_mobile,Party Mobile No,पार्टी मोबाइल संख्या
party_name,Party Name,पार्टी का नाम
party_number,Party Number,पार्टी संख्या
party_pin_code,Party Pincode,पार्टी पिनकोड
amntin_rs,Pass penalty,पास पेनल्टी
passenger_number,Passenger Number,यात्री संख्या
passenger_report,Passenger Report,यात्री रिपोर्ट
path_route,Path route,पथ मार्ग
pay,Pay,भुगतान करें
payment_info,Payment info,भुगतान की जानकारी
label_payment_summary,Payment Summary -,भुगतान सारांश -
payout_type,Payout Type,भुगतान प्रकार
pdbf_voucher,PBDF Voucher,पीबीडीएफ वाउचर
pd_refund,PD Charges Refund,पीडी चार्ज रिफंड
phone,Phone,फ़ोन
pd_charge,Pickup dropoff charge,पिकअप ड्रॉपऑफ़ शुल्क
pickup_group,Pickup Group,पिकअप समूह
msg_pickup_loading,Pickup is loading,पिकअप लोड हो रहा है
pickup_location,Pickup Location,पिकअप स्थान
pickup_point,Pickup Point,पिक अप बिंदु
pickup_man_mob_no,Pickupman mobile number,पिकअपमैन की मोबाइल संख्या
pin,Pin,पिन
pinCode,Pincode,पिन कोड
please,Please,कृपया
please_enter_collection_cartage,Please enter Collection cartage,कृपया कलेक्शन कार्टेज दर्ज करें
please_enter_crossing_remarks,Please enter Crossing Remarks,कृपया क्रॉसिंग टिप्पणियाँ दर्ज करें
please_enter_goods_value,Please enter goods value,कृपया माल/सामान का मूल्य दर्ज करें
message_type_2,Please select booked seats,कृपया बुक की गई सीटें चुनें
label_select_different_seat,Please select different seat,कृपया अलग सीट चुनें
message_type_1,Please select empty seats,कृपया खाली सीटें चुनें
select_godown_city_first,Please select Godown City first,कृपया पहले गोदाम शहर चुनें
self_booking_pnr,PNR Number,पी एन आर संख्या
pnr_number,PNR number,पी एन आर संख्या
pos,POS,पीओएस
pre_bus_type,Pre Bus Type,प्री बस प्रकार
prepaid_card,Prepaid Card,प्रीपेड कार्ड
primary_mobile_number,Primary mobile number,प्राथमिक मोबाइल संख्या
print,Print,प्रिंट करें
print_cust_copy,Print customer copy,ग्राहक प्रति प्रिंट करें
print_compact_receipt,Print Compact Receipt,कॉम्पैक्ट रसीद प्रिंट करें
print_detailed_receipt,Print Detailed Receipt,विस्तृत रसीद प्रिंट करें
print_office_copy,Print office copy,कार्यालय प्रति प्रिंट करें
print_remarks,Print Remarks,टिप्पणियाँ प्रिंट करें
print_report,Print Report,रिपोर्ट प्रिंट करें
provide_contact_details_to_send_express_checkout,Provide contact details to send Express Checkout,एक्सप्रेस चेकआउट भेजने के लिए संपर्क विवरण प्रदान करें
qr,QR,क्यूआर
qr_selection_type,QR Selection Type,क्यूआर चयन प्रकार
label_qr_pending_payment,QR Pending Payments,क्यूआर लंबित भुगतान
quick_view_detail,Quick View Detail,त्वरित विवरण देखें
quota_of,Quota of,किसका कोटा
label_rate_per_kg,Rate (Rs/KG),दर (रुपये/किग्रा)
transfer_reason,Reason,कारण
reason_for_refund,Reason for refund,रीफंड का कारण
receipt,Receipt,रसीद
receipt_type,Receipt Type,रसीद का प्रकार
label_receive_branch,Receive Branch,रिसीव शाखा
receive_city,Receive City,रिसीव शहर
received_by,Received By,किसके द्वारा रिसीव किया गया/प्राप्त किया गया
received_by_branch,Received By Branch,शाखा द्वारा प्राप्त
receiver_id_proof,Receiver Id Proof,प्राप्तकर्ता का पहचान प्रमाण पत्र
receiver_id_proof_no,Receiver Id Proof No,प्राप्तकर्ता के पहचान प्रमाणपत्र की संख्या
receiver_image_id,Receiver Image Id,प्राप्तकर्ता का चित्र पहचान पत्र
receiver_mobile_no_,Receiver mobile No,प्राप्तकर्ता की मोबाइल संख्या
label_receiver_name,Receiver Name,प्राप्तकर्ता का नाम
receiver_city_and_state,Receiver City & State,प्राप्तकर्ता शहर एवं राज्य
receiver_pin_code,Receiver Pincode,प्राप्तकर्ता पिनकोड
label_receiving_branch,Receiving Branch,प्राप्तकर्ता शाखा
lebel_receiving_city,Receiving City,प्राप्तकर्ता शहर
recharge_amount,Recharge amount,रीचार्ज राशि
label_recharge_date,RechargeDate:,रिचार्ज तिथि:
receiver_name_,Reciever Name,प्राप्तकर्ता का नाम
refresh,Refresh,रीफ्रेश
refund_amount,Refund amount,राशि वापस करें
refund_success,Refund is successful,रीफंड सफलतापूर्वक हुआ
remote_pos,Remote POS,रिमोट पीओएस
report_type,Report Type,रिपोर्ट का प्रकार
request_recharge,Request Recharge,रिचार्ज का अनुरोध करें
resend_otp,Resend,पुन: भेजें
reset,Reset,पुन: सेट करें
review_and_pay,Review and Pay,समीक्षा करें और भुगतान करें
review_and_proceed,Review and proceed,समीक्षा करें और आगे बढ़ें
label_route_is_loading,Route is loading,रूट लोड हो रहा है
s1,S1,एस 1
s3,S3,एस3
s5,S5,एस 5
scan,Scan,स्कैन करें
search_driver,Search Driver,ड्राइवर खोजें
search_with_name,Search with Name,नाम से खोजें
seat_fare,Seat Fare,सीट किराया
seat_numbers,Seat Numbers,सीट संख्या
seat_type_number,Seat type number,सीट प्रकार संख्या
select_agent_name,Select Agent Name,एजेंट का नाम चुनें
select_agent_city,Select Agent City,एजेंट का शहर चुनें
select_all,Select All,सभी चुनें
label_select_booking_type,Select Booking Type,बुकिंग प्रकार चुनें
toolbar_select_from_map,Select Branch From Map,मानचित्र से शाखा चुनें
label_select_chart,Select Chart,चार्ट चुनें
error_select_chart,Select chart for transfer,स्थानांतरण के लिए चार्ट चुनें
select_consignment_type,Select Consignment Type,कंसाईन्मेंट प्रकार चुनें
select_coupon_type,Select Coupon Type,कूपन के प्रकार चुनें
select_destination_city_short,Select Destination City,गंतव्य शहर चुनें
select_dispatch_by_branch,Select Dispatch By Branch,शाखा द्वारा डिस्पैच चुनें
saved_details,Select from saved details,सहेजे गए विवरणों में से विवरण चुनें
select_id_proof_type,Select ID Proof,आईडी प्रूफ चुनें
select_input_type,Select input type,इनपुट प्रकार चुनें
select_issuer,Select issuer,जारीकर्ता चुनें
select_item_type,Select item type,वस्तु प्रकार चुनें
select_items,Select Items,वस्तुएं चुनें
select_ledger,Select Ledger,लेजर चुनें
label_select_new_drop_off,Select New Dropoff,नया ड्रॉपऑफ़ चुनें
label_select_new_pick_up,Select New Pickup,नया पिकअप चुनें
select_party,Select Party,पार्टी चुनें
select_payment_mode,Select Payment Mode,भुगतान मोड चुनें
select_pickup_droooff,Select Pickup & Dropoff,पिकअप और ड्रॉपऑफ़ चुनें
select_month,Select month,महीना चुनें
select_pnr,Select PNR,पी.एन.आर. चुनें
select_qr_payment_mode,Select QR payment mode,क्यूआर भुगतान मोड चुनें
select_qr_provider,Select QR Provider,क्यूआर प्रदाता चुनें
label_select_received_by_branch,Select Received By Branch,शाखा द्वारा प्राप्त चुनें
select_receving_branch,Select Receving Branch,प्राप्तकर्ता शाखा चुनें
select_receiver_id_type,Select Receiver ID Type,प्राप्तकर्ता पहचान प्रमाण/आईडी प्रकार चुनें
label_select_report_type,Select Report Type,रिपोर्ट प्रकार चुनें
select_seats,Select Seats,सीटें चुनें
select_sender_id_type,Select Sender ID Type,भेजने वाले का पहचान प्रमाण/ आईडी प्रकार चुनें
label_select_summary_type,Select Summary Type,सारांश प्रकार चुनें
toolbar_report_type,Select Summary Type,सारांश प्रकार चुनें
select_transfer_branch,Select Transfer Branch,स्थानांतरण शाखा चुनें
select_transfer_branch_in,Select Transfer Branch in,"किस शाखा में स्थानान्तरण करना हैं, वह चुनें"
select_vehicle_no,select Vehicle No,वाहन क्रमांक चुनें
selected_lr_no,Selected LR No,चयनित एलआर संख्या
label_select_seat,Selected old seats,चयनित पुरानी सीटें
selected_trans_ids,Selected Trans. Ids,चयनित स्थानान्तरण पहचान
label_self,Self,सेल्फ
label_self_freight,Self Freight,सेल्फ फ्रेट
send_gps_link,Send GPS Link,जीपीएस लिंक भेजें
send_i_was_there,Send I was there SMS,"मैं वहां था, एसएमएस भेजें"
send_link_to_multiple_passenger,Send link to multiple passenger,एक से अधिक यात्रियों को लिंक भेजें
send_express_checkout,Send Express Checkout,एक्सप्रेस चेकआउट भेजें
sender_city_and_state,Sender City & State,भेजने वाला शहर और राज्य
