Key,English Words,Translation
booked_by,Booked By,ਬੁੱਕ ਕਰਤਾ
booking_amount,Booking Amount,ਬੁਕਿੰਗ ਦੀ ਰਕਮ
booking_city,Booking City,ਬੁਕਿੰਗ ਸ਼ਹਿਰ
booking_date_wise,Booking Datewise report,ਬੁਕਿੰਗ ਮਿਤੀ ਅਨੁਸਾਰ ਰਿਪੋਰਟ
booking_from_to,Booking From - To,ਬੁਕਿੰਗ ਰਵਾਨਗੀ - ਮੰਜ਼ਲ
booking_other_charges,Booking Other Charges,ਬੁਕਿੰਗ ਹੋਰ ਖਰਚੇ
booking_transfer,Booking Transfer,ਬੁਕਿੰਗ ਟ੍ਰਾਂਸਫਰ
booking_type,Booking Type,ਬੁਕਿੰਗ ਦੀ ਕਿਸਮ
booking_remark,Booking Remark,ਬੁਕਿੰਗ ਟਿੱਪਣੀ
label_both,Both,ਦੋਵੇਂ
branch_agent_booking_report,Branch /Agent Booking Report,ਸ਼ਾਖਾ/ਏਜੰਟ ਬੁਕਿੰਗ ਰਿਪੋਰਟ
tv_brach_phone,Branch phone,ਸ਼ਾਖਾ ਦਾ ਫ਼ੋਨ
branch_recharge,Branch Recharge,ਸ਼ਾਖਾ ਰੀਚਾਰਜ
branch_recharge_is_not_allowed,Branch recharge is not allowed,ਸ਼ਾਖਾ ਰੀਚਾਰਜ ਦੀ ਇਜਾਜ਼ਤ ਨਹੀਂ ਹੈ
branch_stock,Branch Stock,ਸ਼ਾਖਾ ਸਟਾਕ
dispatch_report_type_7,Branch Summary,ਸ਼ਾਖਾ ਸਾਰਾਂਸ਼
branch_transfer,Branch Transfer,ਸ਼ਾਖਾ ਟ੍ਰਾਂਸਫਰ
branch_transfer_receive,Branch Transfer Receive,ਸ਼ਾਖਾ ਟ੍ਰਾਂਸਫਰ ਪ੍ਰਾਪਤ ਕਰੋ
branch_transfer_received,Branch Transfer Received,ਸ਼ਾਖਾ ਟ੍ਰਾਂਸਫ਼ਰ ਪ੍ਰਾਪਤ ਹੋਇਆ
label_branch_name,Branch:,ਸ਼ਾਖਾ:
broker,Broker,ਦਲਾਲ
bus_advance,Bus Advance,ਬੱਸ ਐਡਵਾਂਸ
bus_no,Bus No,ਬੱਸ ਨੰਬਰ
bus_qrs,Bus QRs,ਬੱਸ ਦੇ ਕਿਉ.ਆਰ.
tracking,Bus Tracking,ਬੱਸ ਟ੍ਰੈਕਿੰਗ
bus_transactions,Bus transaction,ਬੱਸ ਲੈਣ-ਦੇਣ
by_branch,By branch,ਸ਼ਾਖਾ ਅਨੁਸਾਰ
camera,Camera,ਕੈਮਰਾ
cancel_chart,Cancel chart,ਚਾਰਟ ਰੱਦ ਕਰੋ
toolbar_dispatched,Cancel Dispatch,ਡਿਸਪੈਚ ਰੱਦ ਕਰੋ
cancel_transfer,Cancel Transfer,ਟ੍ਰਾਂਸਫਰ ਰੱਦ ਕਰੋ
label_cancel_by_branch,CAND Branch,ਸੀ.ਏ.ਐਨ.ਡੀ. ਸ਼ਾਖਾ
label_cancel_date,CAND Date,ਸੀ.ਏ.ਐਨ.ਡੀ. ਮਿਤੀ
label_cancel_by_user,CAND User,ਸੀ.ਏ.ਐਨ.ਡੀ. ਵਰਤੋਂਕਾਰ
ezetap_payment,Card payment,ਕਾਰਡ ਭੁਗਤਾਨ
toolbar_rate_inquiry,Cargo | Rate\ETA Inquiry,ਕਾਰਗੋ | ਦਰ\ਈ.ਟੀ.ਏ. ਪੁੱਛਗਿੱਛ
cartage,Cartage,ਕਾਰਟੇਜ
cash_amount,Cash Amount,ਨਕਦ ਰਕਮ
cash_transactions_and_no_concession,Cash Transactions and No Concession,ਨਕਦ ਲੈਣ-ਦੇਣ ਅਤੇ ਕੋਈ ਰਿਆਇਤ ਨਹੀਂ
cash,Cash,ਨਕਦ
cb_cash_amount,CB Cash amount,ਸੀ.ਬੀ. ਨਕਦ ਰਕਮ
cb_non_cash_amount,CB Non Cash amount,ਸੀ.ਬੀ. ਗੈਰ-ਨਕਦ ਰਕਮ
cc_earned,CC Earned,ਸੀ.ਸੀ. ਕਮਾਇਆ
challan_no,Challan No,ਚਲਾਨ ਨੰਬਰ
challan_wise,Challan wise,ਚਲਾਨ ਮੁਤਾਬਕ
chart_arrangement_transfer,Chart / Arrangement transfer,ਚਾਰਟ / ਪ੍ਰਬੰਧ ਟ੍ਰਾਂਸਫਰ
chart_date_wise_report,Chart Date Wise Report,ਚਾਰਟ ਮਿਤੀ ਅਨੁਸਾਰ ਰਿਪੋਰਟ
toolbar_chart_details,Chart Details,ਚਾਰਟ ਵੇਰਵੇ
toolbar_chart_transfer,Chart Transfer,ਚਾਰਟ ਟ੍ਰਾਂਸਫਰ
check_pos_card_and_upi_qr_transaction_details,Check POS Card & UPI QR Transaction Details,ਪੀ.ਓ.ਐਸ. ਕਾਰਡ ਅਤੇ ਯੂ.ਪੀ.ਆਈ. ਕਿਉ.ਆਰ. ਟ੍ਰਾਂਜੈਕਸ਼ਨ ਵੇਰਵਿਆਂ ਦੀ ਜਾਂਚ ਕਰੋ
mode_type,Cheque / Draft / Card #,ਚੈੱਕ / ਡਰਾਫਟ / ਕਾਰਡ #
choose_date,Choose a payment date!,ਇੱਕ ਭੁਗਤਾਨ ਮਿਤੀ ਚੁਣੋ!
close,Close,ਬੰਦ ਕਰੋ
close_all,Close All,ਸਭ ਬੰਦ ਕਰੋ
cm,cm,ਸੀ.ਐਮ.
close_sender_details,Close Sender Details,ਭੇਜਣ ਵਾਲੇ ਦੇ ਵੇਰਵੇ ਬੰਦ ਕਰੋ
comm,Comm,ਕੌਮਨ
common_lr,Common LR,ਕੌਮਨ ਐਲ.ਆਰ.
company,Company,ਕੰਪਨੀ
company_branch_user_qr,"Company, Branch, User QR","ਕੰਪਨੀ, ਸ਼ਾਖਾ, ਵਰਤੋਂਕਾਰ ਕਿਉ.ਆਰ."
label_company_name,Company Name,ਕੰਪਨੀ ਦਾ ਨਾਮ
compliance,compliance,ਪਾਲਣਾ
conc_rate,Concession rate,ਰਿਆਇਤ ਦਰ
conc_amt,Conc Amt,ਰਿਆਇਤ ਰਕਮ
conc_pass_no,Conc Pass No.,ਰਿਆਇਤ ਪਾਸ ਨੰਬਰ
label_confirm_sms,Confirm SMS,ਐਸ.ਐਮ.ਐਸ. ਦੀ ਪੁਸ਼ਟੀ ਕਰੋ
connect_at_least_4_dots,Connect at least 4 dots,ਘੱਟੋ-ਘੱਟ 4 ਬਿੰਦੀਆਂ ਨੂੰ ਕਨੈਕਟ ਕਰੋ
label_consignee,Consignee,ਭੇਜਣ ਵਾਲਾ
Consignment,Consignment,ਖੇਪ
consignment_declaration,Consignment Declaration,ਖੇਪ ਘੋਸ਼ਣਾ
consignment_refund,Consignment Refund,ਖੇਪ ਦੀ ਭੁਗਤਾਨ-ਵਾਪਸੀ
consignment_type,Consignment Type,ਖੇਪ ਦੀ ਕਿਸਮ
label_consignor,Consignor,ਭੇਜਣ ਵਾਲਾ
contact_no,Contact No,ਸੰਪਰਕ ਨੰਬਰ
continue_scan,Continue Scan,ਸਕੈਨ ਜਾਰੀ ਰੱਖੋ
copy_fare,Copy fare,ਕਿਰਾਇਆ ਕਾਪੀ ਕਰੋ
coupon_code,Coupon code,ਕੂਪਨ ਕੋਡ
coupon_discount,Coupon Discount,ਕੂਪਨ ਛੋਟ
label_credit_limit,Credit Limit :,ਕ੍ਰੈਡਿਟ ਸੀਮਾ:
crossing,Crossing,ਕਰਾਸਿੰਗ
crossing_cartage,Crossing Cartage,ਕਰਾਸਿੰਗ ਕਾਰਟੇਜ
crossing_remarks,Crossing Remarks,ਕਰਾਸਿੰਗ ਟਿੱਪਣੀਆਂ
label_crossings,Crossings,ਕਰਾਸਿੰਗ
current_branch,Current Branch,ਮੌਜੂਦਾ ਸ਼ਾਖਾ
current_city,Current City,ਮੌਜੂਦਾ ਸ਼ਹਿਰ
customer_mobile_number,Customer Mobile Number,ਗਾਹਕ ਦਾ ਮੋਬਾਈਲ ਨੰਬਰ
customer_name,Customer name,ਗਾਹਕ ਦਾ ਨਾਮ
date,Date,ਮਿਤੀ
datetime,Date Time,ਮਿਤੀ ਸਮਾਂ
label_dddv,DDDV,ਡੀ.ਡੀ.ਡੀ.ਵੀ.
label_dddv_amount,DDDV Amount,ਡੀ.ਡੀ.ਡੀ.ਵੀ. ਰਕਮ
label_dddv_dispatch,DDDV Dispatch,ਡੀ.ਡੀ.ਡੀ.ਵੀ. ਡਿਸਪੈਚ
label_dddv_freight,DDDV Freight,ਡੀ.ਡੀ.ਡੀ.ਵੀ. ਮਾਲ-ਢੁਆਈ
label_dddv_gst_other,DDDV GST + Other,ਡੀ.ਡੀ.ਡੀ.ਵੀ. ਜੀ.ਐਸ.ਟੀ. + ਹੋਰ
label_ddv_count1,DDDV LR Count,ਡੀ.ਡੀ.ਡੀ.ਵੀ. ਐਲ.ਆਰ. ਗਿਣਤੀ
label_dddv_receive,DDDV Receive,ਡੀ.ਡੀ.ਡੀ.ਵੀ. ਪ੍ਰਾਪਤ ਕਰੋ
label_ddv_count,DDDV Units,ਡੀ.ਡੀ.ਡੀ.ਵੀ. ਇਕਾਈਆਂ
label_ddv_ftl,DDDV/FTL,ਡੀ.ਡੀ.ਡੀ.ਵੀ./ਐਫ.ਟੀ.ਐਲ.
declared_value,Declared Value,ਘੋਸ਼ਿਤ ਮੁੱਲ
delayed_by,Delayed By,ਦੇਰੀ
deletee,Delete,ਮਿਟਾਓ
delivery_date,Delivery date,ਡਿਲੀਵਰੀ ਮਿਤੀ
delivery_discount,Delivery Discount,ਡਿਲੀਵਰੀ ਛੋਟ
delivery_gst,Delivery GST,ਡਿਲੀਵਰੀ ਜੀ.ਐਸ.ਟੀ.
delivery_hamali_and_extra_hamali,Delivery Hamali and Extra Hamali,ਡਿਲੀਵਰੀ ਹਮਾਲੀ ਅਤੇ ਵਾਧੂ ਹਮਾਲੀ
delivery_hamali_charges,Delivery Hamali Charges,ਡਿਲੀਵਰੀ ਹਮਾਲੀ ਖਰਚੇ
delivery_other_charges,Delivery Other Charges,ਡਿਲੀਵਰੀ ਹੋਰ ਖਰਚੇ
delivery_time,Delivery Time,ਡਿਲੀਵਰੀ ਸਮਾਂ
delivery_transfer,Delivery Transfer,ਡਿਲੀਵਰੀ ਟ੍ਰਾਂਸਫਰ
demurrage,Demurrage,ਡੈਮਰੇਜ
desc,Desc,ਵਰਣਨ
label_dest_branch,Dest Branch,ਮੰਜ਼ਲ ਸ਼ਾਖਾ
label_dest_city,Dest City,ਮੰਜ਼ਲ ਸ਼ਹਿਰ
label_detail,Detail,ਵੇਰਵੇ
receive_report_type_1,Detailed,ਵਿਸਤ੍ਰਿਤ
toolbar_detailed_receive_report,Detailed - Receive Report,ਵਿਸਤ੍ਰਿਤ - ਰਿਪੋਰਟ ਪ੍ਰਾਪਤ ਕਰੋ
dispatch_report_type_4,Detailed Summary,ਵਿਸਤ੍ਰਿਤ ਸਾਰਾਂਸ਼
device_id,Device Id,ਡੀਵਾਈਸ ਆਈ.ਡੀ.
disable_old_devices,Disable Old Devices,ਪੁਰਾਣੇ ਡੀਵਾਈਸਾਂ ਨੂੰ ਬੰਦ ਕਰੋ
discount_coupon,Discount Coupon,ਛੋਟ ਕੂਪਨ
label_dis_from_branch,Disp From Branch,ਸ਼ਾਖਾ ਤੋਂ ਡਿਸਪੈਚ
label_dis_from_city,Disp From City,ਸ਼ਹਿਰ ਤੋਂ ਡਿਸਪੈਚ
dispatch_date_time,Dispacth date time,ਡਿਸਪੈਚ ਮਿਤੀ ਸਮਾਂ
label_dispatch_by,Dispatch By,ਡਿਸਪੈਚ ਕਰਤਾ
label_dispatch_by_city,Dispatch By City,ਸ਼ਹਿਰ ਵੱਲੋਂ ਡਿਸਪੈਚ
msg_cancel_dispatch_faild,Dispatch Cancelled Fail,ਡਿਸਪੈਚ ਰੱਦ ਕਰਨਾ ਅਸਫਲ ਰਿਹਾ
msg_cancel_dispatch_success,Dispatch Cancelled Successfully,ਡਿਸਪੈਚ ਸਫਲਤਾਪੂਰਵਕ ਰੱਦ ਕੀਤਾ ਗਿਆ
label_dispatch_date_range,Dispatch Date Range,ਡਿਸਪੈਚ ਮਿਤੀ ਰੇਂਜ
dispatch_date_,Dispatch Date:,ਡਿਸਪੈਚ ਦੀ ਮਿਤੀ:
dispatch_from,Dispatch From,ਡਿਸਪੈਚ ਟਿਕਾਣਾ
label_dispatch_from_branch,Dispatch From Branch,ਸ਼ਾਖਾ ਤੋਂ ਡਿਸਪੈਚ
dispatch_memo_no,Dispatch memo no,ਡਿਸਪੈਚ ਮੈਮੋ ਨੰਬਰ
dispatch_more,Dispatch More,ਹੋਰ ਡਿਸਪੈਚ ਕਰੋ
dispatch_new,Dispatch New,ਨਵਾਂ ਡਿਸਪੈਚ ਕਰੋ
dispatch_no,Dispatch No,ਡਿਸਪੈਚ ਨੰਬਰ
dispatch_report,Dispatch Report,ਡਿਸਪੈਚ ਰਿਪੋਰਟ
dispatched_by_branch,Dispatched By Branch,ਸ਼ਾਖਾ ਵੱਲੋਂ ਡਿਸਪੈਚ ਕੀਤਾ ਗਿਆ
dispatched_to,Dispatched To,ਇਸਨੂੰ ਡਿਸਪੈਚ ਕੀਤਾ ਗਿਆ
dispatched_from_city,Dispatched from City,ਸ਼ਹਿਰ ਤੋਂ ਡਿਸਪੈਚ ਕੀਤਾ ਗਿਆ
dispatched_successfully,Dispatched Successfully,ਸਫਲਤਾਪੂਰਵਕ ਡਿਸਪੈਚ ਕੀਤਾ ਗਿਆ
label_dispatch_to_branch,Dispatched To Branch,ਸ਼ਾਖਾ ਨੂੰ ਡਿਸਪੈਚ ਕੀਤਾ ਗਿਆ
label_dispatch_to_city,Dispatched To City,ਸ਼ਹਿਰ ਨੂੰ ਡਿਸਪੈਚ ਕੀਤਾ ਗਿਆ
download,Download,ਡਾਊਨਲੋਡ ਕਰੋ
dropoff2,Dropoff :,ਡ੍ਰੌਪਔਫ਼ :
dropoff_details,Dropoff Details,ਡ੍ਰੌਪਔਫ਼ ਵੇਰਵੇ
msg_drop_off_loading,Dropoff is loading,ਡ੍ਰੌਪਔਫ਼ ਲੋਡ ਹੋ ਰਿਹਾ ਹੈ
dropoff_location,Dropoff Location,ਡ੍ਰੌਪਔਫ਼ ਟਿਕਾਣਾ
edit,Edit,ਸੰਪਾਦਨ ਕਰੋ
label_edit_dispatch,Edit Dispatch,ਡਿਸਪੈਚ ਦਾ ਸੰਪਾਦਨ ਕਰੋ
email_id,Email ID,ਈਮੇਲ ਆਈ.ਡੀ.
enable_printing,Enable Printing,ਪ੍ਰਿੰਟਿੰਗ ਚਾਲੂ ਕਰੋ
end_price,End price,ਅੰਤਮ ਕੀਮਤ
enter_booking_id,Enter Booking Id,ਬੁਕਿੰਗ ਆਈ.ਡੀ. ਦਾਖਲ ਕਰੋ
label_correct_eway_bill,Enter Correct Eway Bill,ਸਹੀ ਈਵੇ ਬਿੱਲ ਦਾਖਲ ਕਰੋ
enter_coupon_code,Enter Coupon Code,ਕੂਪਨ ਕੋਡ ਦਾਖਲ ਕਰੋ
otp,Enter OTP,ਓ.ਟੀ.ਪੀ. ਦਾਖਲ ਕਰੋ
enter_passenger_details_to_send_link,Enter passenger details to send link,ਲਿੰਕ ਭੇਜਣ ਲਈ ਯਾਤਰੀ ਵੇਰਵੇ ਦਾਖਲ ਕਰੋ
enter_passenger_mobile_no,Enter passenger mobile no,ਯਾਤਰੀ ਦਾ ਮੋਬਾਈਲ ਨੰਬਰ ਦਾਖਲ ਕਰੋ
enter_sender_id_number,Enter Sender ID Number,ਭੇਜਣ ਵਾਲੇ ਦਾ ਆਈ.ਡੀ. ਨੰਬਰ ਦਾਖਲ ਕਰੋ
enter_transaction_code,Enter transaction code,ਲੈਣ-ਦੇਣ ਕੋਡ ਦਾਖਲ ਕਰੋ
enter_vehicle_no,Enter Vehicle No.,ਵਾਹਨ ਨੰਬਰ
error_non_reporting_seat,Error while non-reporting seats!,ਗੈਰ-ਰਿਪੋਰਟਿੰਗ ਸੀਟਾਂ ਦੌਰਾਨ ਗੜਬੜੀ!
error_storing_in_cache,Error while storing into cache!,ਕੈਸ਼ੇ ਵਿੱਚ ਸਟੋਰ ਕਰਨ ਦੌਰਾਨ ਗੜਬੜੀ!
label_eta_days,ETA (Days),ਈ.ਟੀ.ਏ. (ਦਿਨ)
ewb_status,EWB Status,ਈ.ਡਬਲਿਊ.ਬੀ. ਸਥਿਤੀ
express_checkout,Express Checkout,ਐਕਸਪ੍ਰੈਸ ਚੈੱਕਆਉਟ
extra_hamali_charges,Extra Hamali Charges,ਵਾਧੂ ਹਮਾਲੀ ਖਰਚੇ
fare_copy,Fare Copy,ਕਿਰਾਏ ਦੀ ਕਾਪੀ
fare_in_rupees,Fare in rs,ਰੁਪਏ ਵਿੱਚ ਕਿਰਾਇਆ
fare_refund,Fare Refund,ਕਿਰਾਏ ਦੀ ਭੁਗਤਾਨ-ਵਾਪਸੀ
female,Female,ਮਹਿਲਾ
fetch_pending_transactions,Fetch Pending Transactions,ਬਕਾਇਆ ਲੈਣ-ਦੇਣ ਪ੍ਰਾਪਤ ਕਰੋ
filter,Filter,ਫਿਲਟਰ
foc,FOC,ਐਫ.ਓ.ਸੀ.
label_foc_self_amount,FOC + Self Amount,ਐਫ.ਓ.ਸੀ. + ਸਵੈ ਰਕਮ
label_foc_self_freight,FOC + Self Freight,ਐਫ.ਓ.ਸੀ. + ਸਵੈ ਮਾਲ ਢੁਆਈ
label_foc_self_gst_other,FOC + Self GST+ Other,ਐਫ.ਓ.ਸੀ. + ਸਵੈ ਜੀ.ਐਸ.ਟੀ. + ਹੋਰ
label_foc_self_lr_count1,FOC + Self LR Count,ਐਫ.ਓ.ਸੀ. + ਸਵੈ ਐਲ.ਆਰ. ਗਿਣਤੀ
label_foc_self_lr_count,FOC + Self Units,ਐਫ.ਓ.ਸੀ. + ਸਵੈ ਇਕਾਈਆਂ
for_approval,FOC approval authority,ਐਫ.ਓ.ਸੀ. ਪ੍ਰਵਾਨਗੀ ਅਥਾਰਟੀ
for_security,For security,ਸੁਰੱਖਿਆ ਲਈ
for_security_confirm_pattern,"For security, Confirm Pattern","ਸੁਰੱਖਿਆ ਲਈ, ਪੈਟਰਨ ਦੀ ਪੁਸ਼ਟੀ ਕਰੋ"
four,Four,ਚਾਰ
label_amount_tooltext,Freight + Hamali + Cartage,ਮਾਲ ਢੁਆਈ + ਹਮਾਲੀ + ਕਾਰਟੇਜ
from_branch,From branch,ਸ਼ਾਖਾ ਤੋਂ
from_gallery,From Gallery,ਗੈਲਰੀ ਤੋਂ
label_from_lr_booking_date,From LR Booking Date,ਐਲ.ਆਰ. ਬੁਕਿੰਗ ਦੀ ਮਿਤੀ ਤੋਂ
from_stage,From Stage,ਸਟੇਜ ਤੋਂ
label_ftl,FTL,ਐਫ.ਟੀ.ਐਲ.
generated_on,Generated on,ਤਿਆਰ ਕਰਨ ਦੀ ਮਿਤੀ
generate_qr_for_scanning,Generate QR for scanning,ਸਕੈਨਿੰਗ ਲਈ ਕਿਉ.ਆਰ. ਜਨਰੇਟਰ
generated_date_and_time,Generated Date and Time,ਜਨਰੇਟ ਕਰਨ ਦੀ ਮਿਤੀ ਅਤੇ ਸਮਾਂ
label_report_generation_time,Generation Time:,ਜਨਰੇਟ ਕਰਨ ਦਾ ਸਮਾਂ:
get_orders,Get Orders,ਆਰਡਰ ਪ੍ਰਾਪਤ ਕਰੋ
get_qr_to_scan,Get QR to scan,ਸਕੈਨ ਕਰਨ ਲਈ ਕਿਉ.ਆਰ. ਪ੍ਰਾਪਤ ਕਰੋ
label_go,GO,ਜਾਓ
go_to_seatchart,go to seat chart,ਸੀਟ ਚਾਰਟ 'ਤੇ ਜਾਓ
godown,Godown,ਗੁਦਾਮ
loading_godown_city_list,Godown City List is loading!,ਗੁਦਾਮ ਸ਼ਹਿਰ ਦੀ ਸੂਚੀ ਲੋਡ ਹੋ ਰਹੀ ਹੈ!
group_boarding_report,Group Boarding Report,ਗਰੁੱਪ ਬੋਰਡਿੰਗ ਰਿਪੋਰਟ
gst_on_cc_plus,GST on CC (+) :,ਸੀ.ਸੀ. (+) 'ਤੇ ਜੀ.ਐਸ.ਟੀ. :
gstn_paid_by_transporter,(GSTN paid by Transporter),(ਟ੍ਰਾਂਸਪੋਰਟਰ ਵੱਲੋਂ ਭੁਗਤਾਨਸ਼ੁਦਾ ਜੀ.ਐਸ.ਟੀ.ਐਨ.)
gstn,GSTN,ਜੀ.ਐਸ.ਟੀ.ਐਨ
hamali_and_operator_hamali,Hamali and Operator Hamali,ਹਮਾਲੀ ਅਤੇ ਸੰਚਾਲਕ ਹਮਾਲੀ
label_hide_qr,Hide QR,ਕਿਉ.ਆਰ. ਲੁਕਾਓ
hired_vehicle,Hired vehicle,ਕਿਰਾਏ 'ਤੇ ਲਿਆ ਵਾਹਨ
hold_release,Hold release,ਰਿਹਾਈ ਨੂੰ ਰੋਕੋ
hrs,Hrs,ਘੰਟੇ
i_was_there,I was there,ਮੈਂ ਉੱਥੇ ਸੀ
in_bus_bookings,In Bus Bookings,ਬੱਸ ਬੁਕਿੰਗਾਂ ਵਿੱਚ
inch,inch,ਇੰਚ
label_correct_information,Is the information correct?,ਕੀ ਜਾਣਕਾਰੀ ਸਹੀ ਹੈ?
isd_code,ISD,ਆਈ.ਐੱਸ.ਡੀ.
issuer,Issuer,ਜਾਰੀਕਰਤਾ
item_name,Item Name,ਆਈਟਮ ਦਾ ਨਾਮ
item_type_,Item type,ਆਈਟਮ ਦੀ ਕਿਸਮ
jour_dt,Jour. Dt,ਯਾਤਰਾ ਮਿਤੀ
tv_landmark,Landmark,ਲੈਂਡਮਾਰਕ
legal_compliance,Legal Compliance,ਕਨੂੰਨੀ ਪਾਲਣਾ
less,Less,ਘੱਟ
lit,LIT,ਐਲ.ਆਈ.ਟੀ.
loading_data,Loading Data...,ਡਾਟਾ ਲੋਡ ਹੋ ਰਿਹਾ ਹੈ...
label_location_not_provided,Location is not provided,ਟਿਕਾਣਾ ਮੁਹੱਈਆ ਨਹੀਂ ਕੀਤਾ ਗਿਆ ਹੈ
tv_location_name,Location name,ਟਿਕਾਣੇ ਦਾ ਨਾਮ
tv_location_time,Location time,ਟਿਕਾਣੇ ਦਾ ਸਮਾਂ
location_sync_is_in_progress,Location sync is in progress...,ਟਿਕਾਣਾ ਸਿੰਕ ਜਾਰੀ ਹੈ...
label_lr_count,LR Count/Unit,ਐਲ.ਆਰ. ਗਿਣਤੀ/ਇਕਾਈ
label_lr_details,LR Details,ਐਲ.ਆਰ. ਵੇਰਵੇ
lr_number,LR Number,ਐਲ.ਆਰ. ਨੰਬਰ
lr_report,LR Report,ਐਲ.ਆਰ. ਰਿਪੋਰਟ
lrs,LRs,ਐਲ.ਆਰ.
luggage_short_received_successfully,Luggage Short Received Successfully!,ਲਗੇਜ਼ ਸ਼ੌਰਟ ਸਫਲਤਾਪੂਰਵਕ ਪ੍ਰਾਪਤ ਹੋਇਆ!
male,Male,ਪੁਰਸ਼
manage_devices,Manage Devices,ਡੀਵਾਈਸਾਂ ਦਾ ਪ੍ਰਬੰਧਨ ਕਰੋ
travels_name,Mantis travels,ਮੈਂਟਿਸ ਟਰੈਵਲਜ਼
manuel_lr_no,Manual LR No,ਮੈਨੁਅਲ ਐਲ.ਆਰ. ਨੰਬਰ
method_of_packing,Method Of Packing,ਪੈਕਿੰਗ ਦੀ ਵਿਧੀ
cover_freight_restrictions,Minimum freight should be 40,ਘੱਟੋ-ਘੱਟ ਮਾਲ ਢੁਆਈ ੪੦ ਹੋਣਾ ਚਾਹੀਦਾ ਹੈ
packet_freight_restrictions,Minimum freight should be 90,ਘੱਟੋ-ਘੱਟ ਮਾਲ ਢੁਆਈ ੯੦ ਹੋਣਾ ਚਾਹੀਦਾ ਹੈ
mins,Mins,ਮਿੰਟ
mm,mm,ਮਿਲੀਮੀਟਰ
mobile_number,Mobile number,ਮੋਬਾਈਲ ਨੰਬਰ
