Tag,String,Translation
cargo_delivery,Cargo | Delivery,கார்கோ / டெலிவரி
cargo_dispatch,Cargo | Dispatch,கார்கோ / அனுப்புதல்
cargo_files_cleared,Cargo Files Cleared,கார்கோ கோப்புகள் நீக்கப்பட்டது
cargo_lr_search,Cargo | LR Search,கார்கோ / LR தேடல்
cargo_receive,Cargo | Receive,கார்கோ / பெறவும்
cargo_recharge,Cargo | Recharge,கார்கோ / ரீசார்ஜ்
cargo_refund,Cargo Refund,கார்கோ ரிஃபண்ட்
cargo_report,Cargo report,கார்கோ அறிக்கை
cargo_service_created,cargo Service Created,கார்கோ சேவை உருவாக்கப்பட்டது
challan_number,Challan Number,சலான் நம்பர்
chart_cancelled,Chart cancelled,விளக்கப்படம் ரத்து
chartdate,ChartDate,விளக்கப்படம் தேதி
companyid,CompanyID,கம்பெனி ID
conductor_penalty_details,Conductor Penalty Details,நடத்துனர்அபராதம் விவரங்கள் 
confirmation,Confirmation,உறுதிப்படுத்தல்
connecting_with_bluetooth,Connecting with bluetooth,ப்ளூடூத்துடன் இணைப்பு
consigner,Consigner,அனுப்புபவர்
coupon_applied_successfully,Coupon applied successfully,கூப்பன் வெற்றிகரமாக விண்ணப்பம்
couponid,CouponId,கூப்பன் ID
couponname,CouponName,கூப்பன் பெயர்
cover,Cover,கவர்
curr_book_seats,Curr. Book Seat,தற்போது புக் செய்த இருக்கை
current_booking,Current Booking,தற்பொதைய புக்கிங்க்
custom_sms,Custom SMS,வழக்கமான SMS
customer_copy,Customer copy,வாடிக்கையாளர் நகல்
customer_pnr,Customer PNR,வாடிக்கையாளர் நகல் PNR
data_not_found,Data not found,தகவல் கிடைக்கவில்லை
date_not_valid,Date Not Valid,தேதி செல்லாது
delivery_failed,Delivery  Failed!!,டெலிவரி தோல்வி
delivery_print,Delivery Print,டெலிவரி ப்ரிண்ட்
delivery_successful,Delivery Successful,டெலிவரி வெற்றி
device_id_copied,Device id copied!,கருவி ID நகலெடுக்கப்பட்டது
device_metrics,Device metrics,கருவி அளவீடுகள்
diesel,Diesel,டீசல்
diesel_added_successfully,Diesel Added Successfully,டீசல் வெற்றிகரமாக சேர்க்கப்பட்டுள்ளது
dispatch_successful,Dispatch Successful,அனுப்புதல் வெற்றி
doc_charges,Doc charges,ஆவணம் கட்டணங்கள்
driv_code,Driv Code,ட்ரைவர் கோட்
drop_charges,Drop Charges,ட்ராப் கட்டணங்கள்
enable_gps,Enable GPS,GPS செயல்படுத்தவும்
enabling_bluetooth,Enabling bluetooth,ப்ளூடூத் செயல்படுத்தல்
end_time,End Time,முடியும் நேரம்
enter_bank_name,Enter bank name,வங்கி பெயர் சமர்ப்பிக்கவும்
enter_diesel_litres,Enter diesel litres!,டீசல் லிட்டர்ஸ் சமர்ப்பிக்கவும்
enter_expense_amount,Enter expense amount!,செலவு தொகை சமர்ப்பிக்கவும்
enter_from_date,Enter from date,எந்த தேதியிலிருந்து என்று சமர்ப்பிக்கவும்
enter_lr_no,Enter LR no,LR நம்பர் சமர்ப்பிக்கவும்
enter_mode_type,Enter mode type,மோட் வகை சமர்ப்பிக்கவும்
enter_pnr,Enter PNR,PNR சமர்ப்பிக்கவும்
enter_recharge_amount,Enter recharge amount,ரீசார்ஜ் தொகை சமர்ப்பிக்கவும்
enter_refund_amount,Enter refund amount,ரிஃபண்ட் தொகை சமர்ப்பிக்கவும்
enter_ticket_number,Enter ticket number,டிக்கெட் நம்பர் சமர்ப்பிக்கவும்
enter_to_date,Enter to date,எந்த தேதி வரை என்று சமர்ப்பிக்கவும்
enter_valid_data,Enter valid data!,செல்லுபடியாகும் தகவல் சமர்ப்பிக்கவும்
enter_valid_fare,Enter valid fare for,செல்லுபடியாகும் கட்டணம் சமர்ப்பிக்கவும்
enter_valid_notes,Enter valid notes!,செல்லுபடியாகும் நோட்ஸ் சமர்ப்பிக்கவும்
error_scanning_qr,Error scanning QR,QR ஸ்கேன் பிழை
error_while_adding_expense,Error while adding expense,செலவு கூட்டும் போது பிழை
exit,Exit,வெளியேறுதல்
express_checkout_failure,Express checkout failure,எக்ஸ்பிரஸ் செக் அவுட் தோல்வி
for_agent,For Agent :,ஏஜென்ட்டுக்காக
for_branch_user,For Branch User : ,கிளை பயணாளருக்காக
frieght,Frieght,சரக்கு
fuel,Fuel,எரிபொருள்
general,General (Pine Labs),பொது (பைன் லேப்ஸ்)
general_conductor,General Conductor (Pine Labs),பொது நடத்துனர் (பைன் லேப்ஸ்)
generalm,General ( Mswipe ),பொது (எம் ஸ்வைப்)
general_conductorm,General Conductor ( Mswipe ),பொது நடத்துனர் (எம் ஸ்வைப்)
guest,Guest,விருந்தாளி
inspection_report,Inspection Report,ஆய்வு அறிக்கை
inspector_name,Inspector Name,ஆய்வாளர் பெயர்
invalid_data,Invalid data,செல்லுபடியாகாத தகவல்
invalid_open_ticket,Invalid open ticket.,செல்லுபடியாகாத திறந்த டிக்கெட்
journey_dt,Journey Dt,பயணம் தேதி
last_closed_time,Last closed time : ,இறுதி முடியும் நேரம்
later,Later,பின்னர்
load_seat_chart1,Load Seat Chart 1,லோடு இருக்கை விளக்கப்படம் 1
log_out,Log out,லாக் அவுட்
luggage_amt,Luggage Amnt,சாமான் தொகை
lugg_conductor,LUGG | Conductor,சாமான் / நடத்துனர்
lugg_passenger,LUGG | Passenger,சாமான் / பயணி
luggage_ticket,Luggage Ticket,சாமான் டிக்கெட்
luggage_units,luggage units,சாமான் அலகுகள்
mailid,MailId,மின்னஞ்சல் அடையாளம்
manual_lr,Manual LR:,கைமுறை LR:
manual_lr_number,Manual LR Number,கைமுறை LR  நம்பர்
maven_device_id,Maven Device Id,மாவென் கருவி ID
misc,Misc,மற்றவை
misc_penalty_details,Misc Penalty Details,மற்றவை அபராதம் விவரங்கள்
mobilenumber,MobileNumber,மொபைல் நம்பர்
multiple,Multiple,பல
unlimited,Unlimited,வரம்பற்ற
net_trip_amnt,Net Trip Amnt,நிகர பயண தொகை
net_trip_amount,Net Trip Amount,நிகர பயண தொகை
no_branch_found,No branch found !,கிளை கிடைக்கவில்லை
no_cases_booked,No cases booked!,கேஸஸ் புக் செய்யவில்லை
no_coupons_found,No coupons found,கூப்பன்ஸ் கிடைக்கவில்லை
no_internet_connection,No Internet connection,இணயதளம் இணைப்பு இல்லை
no_match_found,No Match Found!,பொருந்துகிறது கிடைக்கவில்லை
no_network_available,No network available!,நெட்வொர்க் கிடைக்கவில்லை
no_penalty,No Penalty,அபராதம் இல்லை
no_of_lrs,No of LRs : ,LR களின் எண்ணிக்கை
no_offline_trips,No offline trips,ஆஃப்லைன் ட்ரிப்ஸ் இல்லை
no_route_found,No route found,ரூட் காணவில்லை
no_section_found,No section found,செக்ஷன் காணவில்லை
no_subroutes_found,No subroutes found,துணை ரூட்ஸ் காணவில்லை
no_trips,No Trips Assigned,பயணங்கள் ஒதுக்கப்படவில்லை
no_user_found,No User Found,பயணாளர் காணவில்லை
no_vehicle_found,No vehicle found !,வாகனம் காணவில்லை
office_copy,Office copy,ஆஃபிஸ் நகல்
offline_bkg_seat,Offline Bkg Seat,ஆஃப்லைன் புக்கிங்க் இருக்கை
offline_bookings,Offline Bookings,ஆஃப்லைன் புக்கிங்க்ஸ்
open_tickets,Open Tickets,திறந்த டிக்கெட்ஸ்
orientation,orientation,நோக்குநிலை
otp_not_verified,OTP not verified,OTP சரிபார்க்கப்படவில்லை
otp_validation_fail,OTP validation fails,OTP சரிபார்த்தல் தோல்வி
otp_verified_successfully,OTP verified successfully,OTP சரிபார்த்தல் வெற்றி
packet,Packet,பாக்கெட்
passenger_penalty_details,Passenger Penalty Details,பயணாளி அப்ராதம் விவரங்கள்
paid_topay,Paid-ToPay,செலுத்தப்பட்டடது_செலுத்த வேண்டியது
paid_type,Paid type,செலுத்தப்பட்ட வகை
parcel,Parcel,பார்சல்
passenger_seat,Passenger - seat :,பயணாளி_இருக்கை
penalties,penalties,அபராதங்கள்
penalty_added,Penalty Added,அபராதம் சேர்க்கப்பட்டது
penalty_amnt,Penalty Amnt,அபராதம் தொகை
penalty_case,Penalty Case,அபராதம் வழக்கு
penaly_id,Penalty ID,அபராதம் அடையாளம்
permission_granted,Permission granted!!,அனுமதி வழங்கப்பட்டது
pickup_change,Pick Up Change,பிக் அப் தேதி
pickup_van_details,Pick Up Van Details,பிக் அப் வான் விவரங்க்கள்
pin_validated_successfully,Pin validated successfully,பின் வெற்றிகரமாக சரிபார்க்கப்பட்டது
play_services,Play services,ப்ளே சேவைகள்
please_collect_rs,Please collect Rs,தயவு செய்து ரூ திரட்டவும்
please_select_branch,Please select branch !!,தயவு செய்து கிளை தேர்ந்தெடுக்கவும்
please_select_consignment,Please select consignment,தயவு செய்து சரக்கு தேர்ந்தெடுக்க்வும்
please_select_pickup,Please select pickup !,தயவு பிக் அப் தேர்ந்தெடுக்கவும்
pnr_name,PNR/Name,PNR / பெயர்
pnr_not_valid,PNR Not valid,PNR செல்லாது
pnrno,PNRNo,PNR நம்பர்
police_warrant,Police Warrant,போலீஸ் வாரண்ட்
postpaid,Postpaid,போஸ்ட்பேட்
prepaid,Prepaid,ப்ரீபேட்
print_preview,Print Preview,ப்ரிண்ட் முன்னோட்டம்
print_success,Print success,ப்ரிண்ட் வெற்றி
printed_successfully,Printed successfully!,வெற்றிகரமாக அச்சடிக்கப்பட்டுள்ளது
printer_connected_successfully,Printer connected successfully!,ப்ரிண்டர் வெற்றிகரமாக இணைக்கப்பட்டுள்ளது
printing_data,Printing data!,ப்ரிண்டிங்க் டேட்டா
qr_charge_customer,QR charge from customer,வடிக்கையாளரிடமிருந்து QR கட்டணம்
qr_scanning_cancelled,QR scanning cancelled,QR ஸ்கேனிங்க் ரத்து
receiver_id_image,Receiver ID &amp; Image,பெறுபவர் அடையாளம் & ஆம்ப்; படம்
receiver_mobile_number,Receiver Mobile Number,பெறுபவர் மொபைல் நம்பர்
receiver_no,Receiver No,பெறுபவர் நம்பர்
reciept,Reciept,ரசீது
redeem_coupons,Redeem Coupons,கூப்பன்ஸ் மீட்கவும்
remotepos,Remote POS,ரிமோட் POS
scan_qr_code,Scan QR code,ஸ்கேன் QR கோட்
search_booking,Search Booking,புக்கிங்க் தேடவும்
search_with_pnr,Search with PNR,PNR வுடன் தேடவும்
seats_count,Seats Count,இருக்கை எண்ணிக்கை
seats_total_fare,"Seats, Total Fare â‚¹","இருக்கைகள், மொத்த கட்டணம் â‚¹"
seatwise_fare_edit,SeatWise Fare Edit,இருக்கைவாரியாக கட்டணம் தணிக்கை
select_dispatch,Select dispatch,டிஸ்பேட்ச் தேடவும்
select_from_branch,Select from Branch,கிளையிலிருந்து தேடவும்
select_godown_city,Select godown city,கோடவுண் நகரம் தேடவும்
select_items_for_sms,Select Items for SMS,SMS க்காக பொருட்கள் தேர்ந்தெடுக்கவும்
select_pickups,Select Pickups,பிக் அப்ஸ் தேர்ந்தெடுக்கவும்
select_qr_type,Select QR type,QR வகை தேர்ந்தெடுக்கவும்
seat_route,Seat/Route,இருக்கை / ரூட்
select_services,Select Services,சேவைகள் தேர்ந்தெடுக்கவும்
select_source_city,Select source city,ஆதார நகரம் தேர்ந்தெடுக்கவும்
select_valid_connection,Select valid concession.,செல்லுபடியாகும் சலுகை தேர்ந்தெடுக்கவும்
sender_mobile_number,Sender Mobile Number,அனுப்புபவர் மொபைல் நம்பர்
services_notification,Services Notification,சேவைகள் அறிவிப்பு
should_not_happened,Should not happened,நடந்திருக்கக் கூடாது
stage,Stage,ஸ்டேஜ்
stage_wise_report,Stage Wise Report,ஸ்டேஜ் வாரியாக அறிக்கை
start_time,Start Time,தொடங்கும் நேரம்
subroute,Subroute,துணை ரூட் 
successfully_cancelled,Successfully cancelled!,வெற்றிகரமாக ரத்து செய்யப்பட்டுள்ளது
terms,Terms,விதிமுறைகள்
ticket,Ticket,டிக்கெட்  
ticket_booked_successfully,Ticket booked successfully,டிக்கெட் வெற்றிகரமாக புக் செய்யப்பட்டது
tickets_cancelled_successfully,Tickets cancelled successfully,டிக்கெட்ஸ் வெற்றிகரமாக ரத்து செய்யப்பட்டது
title,Title,தலைப்பு
total_instances_found,Total Instances Found = ,காணபட்ட மொத்த உதாரணங்கள்
total_coll,Total Coll,மொத்த சேகரிப்பு
ottal_coll_amnt,Total Coll Amnt,மொத்த சேகரிப்பு தொகை
transaction_failure,Transaction failure,பரிவர்த்தனை தோல்வி
transfer_items,Transfer Items,பரிமாற்றம் பொருள்கள்
transfer_successful,Transfer Successful,பரிமாற்றம் வெற்றி
transporter,Transporter,டிரான்ஸ்போர்ட்டர்
trip_end_time,Trip End Time,பயணம் முடியும் நேரம்
tripid,TripID,பயணம் ID
unable_to_copy,Unable to copy!,நகலெடுக்க முடியவில்லை
validate_foc_otp,validate FOC OTP,FOC OTP சரிபார்க்கவும்
verification,Verification,சரிபார்ப்பு
version_check,Version Check,பதிப்பு சோதனை
version_upto_date,Version up to-date!,பதிப்பு இன்றுவரை
voucher_based_booking,Voucher based booking,வவுச்சர் அடிப்படை புக்கிங்க்
voucher_no,Voucher No,வவுச்சர் நம்பர்
waybill_no,WayBill No,வேபிள் நம்பர்
wb_number,WB Number,WB  நம்பர்
without_luggage_case,Without Luggage Case,சாமான் கேஸ் இல்லாமல்
without_ticket_case,Without Ticket Case,டிக்கெட் கேஸ் இல்லாமல்
msg_booking_already_done,A booking is already done against this seequence no..,இந்த வரிசையில் எற்கனவே புக்கிங்க் உள்ளது
msg_account_heads_not_loaded,Account heads are not loaded!,கணக்கு தலைப்புகள் லோட் செய்யவில்லை
msg_account_subheads_not_loaded,Account sub-heads are not loaded!,கணக்கு துணை தலைப்புகள் லோட் செய்யவில்லை
msg_against_mobile, against the mobile number : ,மொபைல் நம்பர்க்கு எதிராக
msg_used_fares_cleared,All used fares are cleared,பயன்படுத்திய எல்லா கட்டணங்களும் நீக்கப்பட்டது
msg_amount_can_not_be_zero,Amount can not be Zero,தொகை பூஜ்ஜியமாக இருக்க முடியாது
ms_amount_to_pay,Amount to pay (Total + QR Charges) = Rs ,செலுத்த வேண்டிய தொகை (மொத்தம் + QR கட்டணங்கள்) = ரூ
msg_app_permission_from_settings,App won\'t work without the permission. Grant permission from settings,அனுமதி இல்லாமல் ஆப் இயங்காது; செட்டிங்க்ஸிலிருந்து அனுமதி வழங்கவும்
msg_sure_to_cancel,Are you sure want to cancel ?,கண்டிப்பாக ரத்து செய்ய வேண்டுமா?
msg_sure_to_reprint,Are you sure want to reprint ?,கண்டிப்பாக மறுபடியும் ப்ரிண்ட் செய்ய வேண்டுமா?
msg_qr_charge_customer,as QR charge from customer,வாடிக்கையாளரிடமிருந்து QR கட்ட்ணம்
msg_binder_not_found_for_position,Binder not found for position,இந்த நிலைமைக்கு பைண்டர் காணவில்லை
msg_bluetooth_connect_granted,Bluetooth connect permission granted,ப்ளூடூத் அனுமதி வழங்கப்பட்டது
msg_bluetooth_not_connected,Bluetooth not connected with first attempt.,முதல் முயற்சியில் ப்ளூடூத் இணைக்கப்படவில்லை
msg_bluetooth_not_connected_error,Bluetooth not connected. Unknown error!,ப்ளூடூத் இணைக்கப்படவில்லை. தெரியாத பிழை
msg_boarding_done_for_pnr,Boarding already done for the PNR.,இந்த PNR க்கு போர்டிங்க் ஏற்கனவே முடிந்துள்ளது
msg_branch_list_loading,Branch list is loading !,கிளை பட்டியல் லோடிங்க்
msg_branch_transfer_received_items,Branch Transfer Received Items,பெற்ற பொருட்களை கிளைக்கு பரிமாற்றம் செய்யவும்
msg_bus_number_not_available,Bus Number Not Available,பஸ் நம்பர் கிடைக்கவில்லை
msg_not_greater_than,Can not be greater than,இதற்கு மேல் இருக்கக் கூடாது
msg_cannot_start_route_fare,Cannot start Seat Route Fare Edit,இருக்கை ரூட் கட்டணம் மாற்றம் தொடங்க முடியாது
msg_cargo_service_created,Cargo Report Service Created,கார்கோ அறிக்கை சேவை உருவாக்கப்பட்டுள்ளது
msg_concession_pass_already_use,"Concession pass already in use , please use a different concession pass",சலுகை பாஸ் ஏற்கனவே பயன்பாட்டில் உள்ளது; தயவு செய்து வேறு ஒரு சலுகை பாஸ் பயன்படுத்தவும்
msg_confirm_pattern,Confirm pattern to unlock,திறக்க அமைப்பை உறுதிப்படுத்தவும்
msg_consignment_status_unavailable,Consignment status not available,சரக்கு தகுதி நிலை கிடைக்கவில்லை
msg_consignment_type_loading,Consignment type is loading..,சரக்கு வகை லோடிங்க் ஆகிறது
msg_contact_offuce,contact booking office.,புக்கிங்க் ஆஃபிஸுடன் தொடர்பு கொள்ளவும்
msg_crop_feature_not_available,Crop feature not supported by this phone!!,இந்த ஃபோனில் க்ராப் அம்சம் இல்லை
msg_dispatch_failed,"Dispatch failed, try again","அனுப்புதல் தோல்வி, மீண்டும் முயர்சிக்கவும்"
msg_dropoff_not_loaded,"Dropoff locations not loaded!, try again","ட்ராப் ஆஃப் இடங்கள் லோட் செய்யப்படவில்லை, மீண்டும் முயற்சிக்கவும்"
msg_empty,Empty from city or to city or date, நகரம் டு நகரம் அல்லது தேதி வாரியாக காலியாக உள்ளது
msg_empty_response_from_server,Empty response from server,சர்வரிலிருந்து பதில் இல்லை
msg_empty_route,"Empty route or subroute, try again",ரூட் அல்லது துணை ரூட் காலி; மீண்டும் முயற்ஷிக்கவும்
msg_enter_lr_no,Enter an LR No / Manual LR No,LR நம்பர் அல்லது கைமுறை LR சமர்ப்பிக்கவும் 
msg_enter_litres_in_notes,Enter litres in notes!,லிட்டர்ஸை நோட்ஸில் சமர்ப்பிக்கவும்
msg_enter_otp_sent,Enter OTP sent on,மொபைலுக்கு அனுப்பிய OTP சமர்ப்பிக்கவும்
msg_enter_otp_sent_to_customer_mobile,Enter OTP sent to Customer Mobile No.,நகலெடுக்க முடியவில்லை
msg_detail_for_sms,Enter passenger detail for sending sms!,SMS அனுப்ப பயணியின் விவரங்கள் சமர்ப்பிக்கவும்
msg_enter_reason_for_refund,Enter reason for refund,ரிஃபண்ட்க்கான காரணம் சமர்ப்பிக்கவும்
msg_enter_valid_booking_id,Enter valid booking id to search!,தேடுவதற்க்காக செல்லுபடியாகும் வாகனம் நம்பர் சமர்ப்பிக்கவும்
msg_enter_vehicle_number,Enter valid vehicle No,செல்லுபடியாகும் வாகனம் நம்பர் சமர்ப்பிக்கவும்
msg_error_fetching_city_list,Error Occurred while Fetching City List,நரகரத்தின் பட்டியில் எடுக்கும்போது பிழை
mag_dropoff_charge_error,Error Fetching Dropoff charge,ட்ராப் ஆஃப் கட்டணம் எடுக்கும்போது பிழை
msg_pickup_caherge_error,Error Fetching Pickup charge,பிக் அப் கட்டணம் எடுக்கும்போது பிழை
msg_error_resending_otp,Error in resending OTP for delivery!!,டெலிவரிக்காக மீண்டும் OTP அனுப்பும் போது பிழை
msg_error_uploading_id_proof,Error in uploading ID proof image!!,ID ஆதாரம் அப்லோட் செய்யும் போது பிழை
msg_erroe_uploading_sender_image,Error in uploading sender image!!,அனுப்புபவர் படம் அப்லோட் செய்யும் போது பிழை
msg_error_adding_pnalities,Error while adding penalties!,அபராதங்கள் சேக்கும் போது பிழை
msg_error_blocking_chart,Error while blocking chart! Try again!,"விளக்கப்படம் ப்ளாக் செய்யும் போது பிழை, மீண்டும் முயற்சிக்கவும்"
msg_error_cancelling_ticket,Error while cancelling ticket,டிக்கெட் ரத்து செய்யும் போது பிழை
msg_error_fetching,Error while fetching sub routes!,துணை ரூட்ஸ் எடுக்கும் போது பிழை
msg_error_fetching_seat_chart,Error while fetching seat chart!,இருக்கை விளக்கப்படம் எடுக்கும்போது பிழை
msg_error_fetching_pickups_drops,Error while fetching the latest pickups/dropoffs!,லேட்டஸ்ட் பிக் அப்ஸ் / ட்ராப் அஃப்ஸ் எடுக்கும்போது பிழை
msg_error_fetching_route,Error while fetching the route!,ரூட் விவரம் எடுக்கும்போது பிழை
msg_error_booking_luggage,Error while booking luggage!,சாமான் புக் செய்யும்போது பிழை
msg_error_while_getting_bus_numbers,Error while getting bus numbers,பஸ் நம்பர்ஸ் எடுக்கும்போது பிழை
msg_error_loading_report,Error while loading report,லோடிங்க் அறிக்கை எடுக்கும்போது பிழை
msg_error_modifying_seats,Error while modifying seats! Try again!,இருக்கைகள் மாற்றும் போது பிழை! மீண்டும் முயற்ஷிக்கவும்
msg_error_sending_otp,Error while sending otp,OTP அனுப்பும் போது பிழை
msg_error_sending_sms,Error while sending SMS!,SMS அனுப்பும்போது பிழை
msg_error_transferring_seat,Error while transferring seat! Try again!,இருக்கை மாற்றும் போது பிழை! மீண்டும் முயற்சிக்கவும்
msg_ticket_booking_failed,Failed to book ticket,டிக்கெட் புக் செய்வதில் தோல்வி
msg_printer_connection_failed,"Failed to connect printer, try again","ப்ரிண்டர் இணைப்பதில் தோல்வி, மீண்டும் முயற்சிக்கவும்"
msg_failed_to_generate_order_id,"Failed to generate order ID, try again or try a different payment mode","ஆர்டர் ID உருவாக்க தோல்வி, மீண்டும் முயர்சிக்கவும் அல்லது வேறு கட்டணம் முறை முயற்சி செய்யவும்"
recharge_request_failed,Failed to request recharge,ரீசார்ஜ் கோரிக்கை தோல்வி
msg_failed_to_scan,"Failed to scan , Invalid qr code","ஸ்கேன் செய்வதில் தோல்வி, செல்லுபடியாகாத QR  கோட்"
msg_failed_logo_store,Failed to store logo..,சின்னம் சேமிப்பதில் தோல்வி
msg_invalid_pin,"Failed to validate , Invalid PIN","சரிபார்த்தல் தோல்வி, செல்லுபடியாகாத PIN"
msg_fare_cannot_be_zero,Fare cannot be zero !!,கட்டணம் பூஜ்ஜியமாக இருக்க முடியாது
msg_fare_change_not_allowed,Fare change not allowed,கட்டணத்தை மாற்ற அனுமதி இல்லை
msg_terms_and_conditions,"For terms and conditions,",விதிமுறைகள் மற்றும் நிபந்தனைகளுக்காக
msg_from_city_loading,from city is loading,நகரத்திலிருந்து புறப்பாடு லோட் ஆகிறது
msg_id_number_not_entered,Id proof number not entered!!,ID ஆதாரம் நம்பர் சமர்ப்பிக்கவில்லை
msg_id_not_selected,Id proof type not selected!!,ID ஆதாரம் வகை தேர்ந்தெடுக்கவில்லை
msg_insufficient_rights,Insufficient Rights: Fare change is not allowed below ,போதுமான உரிமைகள் இல்லை: குறைவான கட்டணம் அனுமதி இல்லை
msg_link_sent_success,Link has been sent successfully to the customer!!,வாடிக்கையாளருக்கு இணைப்பு வெற்றிகரமாக அனுப்பப்பட்டுள்ளது
msg_luggage_fare_not_configured,Luggage fare is not configured!,சாமான் கட்டணம் கட்டமைக்கப்படவில்லை
msg_no_case_sent,\'No case\' status sent!,\ 'வழக்கு இல்லை\' நிலைமை அனுப்பப்பட்டுள்ளது
msg_no_cash_ledger,No Cash Ledger Exists for the selected User. Please configure Cash Ledger,தேர்ந்தெடுத்த வாடிக்கையாளரின் கேஷ் லெட்ஜர் இல்லை. தயவு செய்து கேஷ் லெட்ஜர் கட்டமைக்கவும்
msg_no_data,No data for latest pickups/dropoffs!,சமீபத்திய பிக் அப்ஸ் / ட்ராப் ஆஃப்ஸ் தகவல் இல்லை
msg_no_data_print,No data to print!,ப்ரிண்ட் செய்ய தகவல் இல்லை
msg_no_qr_information,No QR information found,QR தகவல் காணவில்லை
msg_no_rights_to_change_fare,User don\'t have sufficient rights to change the fare..,கட்டணத்தை மாற்ற பயனாளருக்கு போதுமான அனுமதி இல்லை
msg_no_swiper_found,"No swipe issuer found , select cash mode and finish transaction.","ஸ்வைப் பயணாளி காணவில்லை, கேஷ் மோட் தேர்ந்தெடுத்து பரிவர்த்தனை முடிக்கவும்"
msg_no_data_to_print,No data found to print,ப்ரிண்ட் செய்ய தகவல் காணவில்லை
msg_no_transactions_found,No transactions found for the entered mobile number,சமர்ப்பித்த மொபைல் நம்பர் சார்ந்த பரிவர்த்தனைகள் காணவில்லை
msg_no_transaction_list_found,No transaction list found,பரிவர்த்தனை பட்டியல் காணவில்லை
msg_subroutes_not_closed,Not all subroutes are closed or current time has not crossed trip end time,எல்லா துணை ரூட்களும் மூடப்படவில்லை அல்லது தற்போதைய நேரம் பயணத்தின் முடிவு நேரத்தை தாணடவில்லை
msg_offline_bkg_cash_amt,Off.Bkg Cash Amnt,ஆஃப் புக்கிங்க் கேஷ் தொகை
msg_offline_bkg_non_cash,Off.  Bkg Non Cash Amnt,ஆஃப் புக்கிங்க் கேஷ் இல்லாத தொகை
msg_only_9_seats,Only 9 seats can be booked,வெறும் 9 இருக்கைகள் புக் செய்யலாம்
msg_only_9_seats_offline,Only 9 seats can be booked in offline mode!,ஆஃப்லைன் முறையில் வெறும் 9 இருக்கைகள் புக் செய்யலாம்
msg_max_9_seats_booking_allowed,Only max 9 seats booking allowed in offline mode !,அடதிகப்பட்சம் ஆஃப்லைன் முறையில் வெறும் 9 இருக்கைகள் புக் செய்யலாம்
msg_order_status_updated,Order status updated successfully,ஆர்டர் ஸ்டேடஸ் வெற்றிகரமாக புதுப்பிக்கப்பட்டது
msg_otp_resend_to_mobile,OTP has been resend to your mobile no ,உங்கள் மொபைல் நம்பர்க்கு OTP மீண்டும் அனுப்பப்பட்டது
msg_otp_sent_to_mobile,OTP has been sent to your mobile no ,உங்கள் மொபைல் நம்பர்க்கு OTP அனுப்பப்பட்டது
